"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","FW","21-133",90,1,0,0,0,3,1,0,0,29,1,0,1,0.2,0.2,0.1,3,1,7,17,41.2,1,14,1,3,2
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","29-249",76,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0.1,3,1,6,12,50,2,14,3,3,2
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Ádám Szalai",28,"HUN","FW","33-347",14,0,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0,0,1,5,20,0,3,0,0,0
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","27-244",59,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.1,2,0,11,19,57.9,1,10,0,0,0
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Kevin Stöger",22,"AUT","CM","28-086",31,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0.1,3,0,12,20,60,3,6,1,0,0
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","27-294",33,0,0,0,0,0,0,0,0,20,1,1,1,0,0,0,0,0,9,14,64.3,0,4,0,0,0
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","21-322",57,0,0,0,0,0,0,0,0,23,2,1,0,0,0,0,0,0,10,16,62.5,3,7,1,0,0
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","CM","29-103",59,0,0,0,0,0,0,0,0,26,1,0,3,0,0,0.1,2,0,11,17,64.7,2,8,0,1,1
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","CM","23-006",31,0,0,0,0,1,0,0,0,22,1,2,0,0.1,0.1,0,0,0,10,14,71.4,2,6,1,3,2
"Fußball-Bundesliga","2021-11-21","Fußball-Bundesliga (Matchweek 12)","Mainz 05","3-5-2",1,0.8,"Jonathan Burkardt · 41&rsquor;","2","0","Köln","4-2-3-1",1,2.2,"Salih Özcan · 47&rsquor;","1","0","https://fbref.com/en/matches/56673b3d/Mainz-05-Koln-November-21-2021-Bundesliga","Mainz 05","Home","Aarón Martín",3,"ESP","WB","24-213",90,0,0,0,0,0,0,0,0,40,4,1,0,0,0,0.1,1,0,22,35,62.9,3,19,1,2,1
