"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Jonathan Burkardt",29,"GER","FW","21-117",80,0,0,0,0,4,1,0,0,35,2,0,0,0.3,0.3,0.1,2,0,22,24,91.7,1,23,2,3,3
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Ádám Szalai",28,"HUN","FW","33-331",10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,6,50,0,5,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","29-233",88,0,0,0,0,4,1,0,0,45,2,0,0,0.3,0.3,0.1,3,0,14,21,66.7,0,33,4,4,4
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Marcus Ingvartsen",11,"DEN","FW","25-305",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Jean-Paul Boëtius",5,"NED","CM","27-228",90,0,0,0,0,0,0,1,0,52,1,2,2,0,0,0,3,0,30,44,68.2,5,38,1,2,2
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","27-278",87,0,0,0,0,2,0,0,0,74,3,4,0,0.1,0.1,0,7,1,48,65,73.8,9,49,3,2,2
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","21-306",3,0,0,0,0,2,1,0,0,3,0,0,0,0.1,0.1,0,1,0,1,1,100,1,2,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","CM","29-087",69,0,0,0,0,3,2,1,0,39,0,1,1,0.2,0.2,0.1,5,0,28,32,87.5,5,26,3,2,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Anton Stach",6,"GER","CM","22-355",21,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,5,8,62.5,0,8,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Aarón Martín",3,"ESP","WB","24-197",90,0,0,0,0,1,1,0,0,53,2,2,2,0,0,0.3,7,0,32,45,71.1,2,22,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Silvan Widmer",30,"SUI","WB","28-245",90,1,0,0,0,1,1,0,0,55,1,0,6,0.1,0.1,0,3,1,28,40,70,1,21,2,1,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Moussa Niakhate",19,"SEN","CB","25-242",90,0,0,0,0,0,0,0,0,68,2,2,2,0,0,0,1,0,43,56,76.8,4,43,2,1,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Alexander Hack",42,"GER","CB","28-058",90,0,0,0,0,1,0,0,0,58,4,4,0,0.1,0.1,0.1,0,0,37,47,78.7,0,26,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Stefan Bell",16,"GER","CB","30-073",90,0,0,0,0,0,0,1,0,62,2,1,0,0,0,0,1,0,43,55,78.2,2,37,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mainz 05","Home","Robin Zentner",27,"GER","GK","27-008",90,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,22,26,84.6,0,15,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Breel Embolo",36,"SUI","FW","24-264",29,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,0,6,6,100,0,7,1,1,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Marcus Thuram",10,"FRA","FW","24-091",61,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0,2,0,14,21,66.7,0,11,1,3,2
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Alassane Pléa",14,"FRA","AM","28-240",78,0,0,0,0,3,2,0,0,51,0,1,0,0.2,0.2,0,4,0,30,36,83.3,5,28,4,4,3
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Lars Stindl",13,"GER","AM","33-071",12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Jonas Hofmann",23,"GER","AM","29-114",90,0,0,0,0,1,0,0,0,64,0,2,0,0,0,0.1,3,0,43,56,76.8,1,36,3,4,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Kouadio Koné",17,"FRA","CM","20-172",90,0,0,0,0,0,0,1,0,60,2,1,3,0,0,0,2,0,36,43,83.7,4,22,1,5,5
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Denis Zakaria",8,"SUI","CB,CM","24-350",90,0,0,0,0,0,0,0,0,64,3,2,2,0,0,0,0,0,48,52,92.3,0,33,0,4,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Luca Netz",20,"GER","WB","18-174",78,0,0,0,0,1,1,0,0,39,3,0,0,0,0,0.2,2,0,22,31,71,1,18,1,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Patrick Herrmann",7,"GER","WB","30-266",12,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0.1,1,0,4,7,57.1,0,4,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Joe Scally",29,"USA","WB","18-309",90,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,34,50,68,2,20,1,2,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Ramy Bensebaini",25,"ALG","CB","26-203",90,0,0,0,0,2,1,1,0,71,2,3,2,0.2,0.2,0,1,1,43,54,79.6,2,39,3,2,2
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Nico Elvedi",30,"SUI","CB","25-036",27,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,13,14,92.9,0,8,0,0,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Florian Neuhaus",32,"GER","CM","24-234",63,1,0,0,0,3,1,0,0,48,1,1,0,1,1,0.1,1,0,35,41,85.4,6,21,2,1,0
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Matthias Ginter",28,"GER","CB","27-290",90,0,0,0,0,1,0,0,0,74,1,1,0,0.1,0.1,0,2,0,49,65,75.4,5,44,5,1,1
"Fußball-Bundesliga","2021-11-05","Fußball-Bundesliga (Matchweek 11)","Mainz 05","3-5-2",1,1.1,"Silvan Widmer · 76&rsquor;","3","0","Mönchengladbach","3-4-3",1,1.6,"Florian Neuhaus · 38&rsquor;","3","0","https://fbref.com/en/matches/7174b056/Mainz-05-Monchengladbach-November-5-2021-Bundesliga","Mönchengladbach","Away","Yann Sommer",1,"SUI","GK","32-323",90,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,30,41,73.2,0,27,0,0,0
