"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Karim Onisiwo",9,"AUT","FW","31-183",78,0,1,0,0,3,0,0,0,22,0,0,1,0.1,0.1,0.3,5,1,12,15,80,2,13,1,3,2
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Matondo-Merveille Papela",24,"GER","WB,FW","22-241",12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,100,0,1,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Lee Jae-sung",7,"KOR","AM","31-037",66,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,14,18,77.8,1,9,1,1,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Aymen Barkok",4,"MAR","WB,FW","25-118",24,0,0,0,0,2,1,0,0,14,1,0,1,0.1,0.1,0,4,0,7,9,77.8,0,8,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Marco Richter",10,"GER","AM","25-296",58,0,0,0,0,5,1,0,0,17,1,0,0,0.3,0.3,0,2,0,5,8,62.5,3,11,1,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Ludovic Ajorque",17,"FRA","FW,AM","29-203",32,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.1,2,0,11,14,78.6,1,6,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Dominik Kohr",31,"GER","CM","29-228",90,0,0,0,0,1,0,0,0,51,2,2,2,0,0,0,0,0,28,40,70,6,17,2,1,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Leandro Barreiro Martins",8,"LUX","CM","23-256",90,1,0,0,0,1,1,0,0,32,0,2,2,0.3,0.3,0.2,3,0,13,23,56.5,0,14,1,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Anthony Caci",19,"FRA","WB,CB","26-077",90,0,0,0,0,1,0,1,0,62,2,2,1,0,0,0.1,2,0,37,55,67.3,8,25,0,3,3
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Phillipp Mwene",2,"AUT","WB","29-230",90,0,0,0,0,0,0,0,0,56,2,2,0,0,0,0,2,0,24,44,54.5,2,24,1,2,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Edimilson Fernandes",20,"SUI","CB","27-154",90,0,0,0,0,1,0,0,0,75,1,1,0,0,0,0,4,0,46,67,68.7,2,51,0,1,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Stefan Bell",16,"GER","CB","32-023",66,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0.1,1,0,15,23,65.2,0,8,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Tom Krauß",14,"GER","CM","22-086",24,0,0,0,0,1,0,0,0,12,1,0,0,0.1,0.1,0,0,0,6,7,85.7,1,6,1,1,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Mainz 05","3-4-3",1,0.9,"Leandro Barreiro Martins · 69&rsquor;","1","0","Stuttgart","4-2-3-1",3,1.6,"Serhou Guirassy · 56&rsquor; Serhou Guirassy · 84&rsquor; Serhou Guirassy · 90+7&rsquor;","2","0","https://fbref.com/en/matches/1f4fdb5f/Mainz-05-Stuttgart-September-16-2023-Bundesliga","Mainz 05","Home","Sepp van den Berg",3,"NED","CB","21-270",90,0,0,0,0,0,0,0,0,69,1,2,3,0,0,0,2,0,46,57,80.7,1,32,0,0,0
