"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Sami Allagui",NA,"TUN","FW,MF","24-239",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Lewis Holtby",NA,"GER","MF","20-126",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Ádám Szalai",NA,"HUN","FW","23-044",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","André Schürrle",NA,"GER","FW,MF","20-077",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Malik Fathi",NA,"GER","DF","27-085",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Andreas Ivanschitz",NA,"AUT","MF","27-099",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Elkin Soto",NA,"COL","MF","30-171",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Eugen Polanski",NA,"POL","MF","24-311",75,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Marcel Risse",NA,"GER","DF,FW","21-036",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Christian Fuchs",NA,"AUT","DF,MF","24-290",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Nikolče Noveski",NA,"MKD","DF","31-269",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Niko Bungert",NA,"GER","DF","24-090",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Radoslav Zabavník",NA,"SVK","DF,MF","30-128",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Mainz 05","Home","Heinz Müller",NA,"GER","GK","32-237",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Wolfsburg","Away","Grafite",NA,"BRA","FW","31-295",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Wolfsburg","Away","Mario Mandžukić",NA,"CRO","FW,MF","24-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Wolfsburg","Away","Ashkan Dejagah",NA,"IRN","FW,MF","24-201",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mainz 05","4-4-2",0,NA,"","1","0","Wolfsburg","4-2-3-1",1,NA,"Simon Kjær · 82&rsquor;","1","0","https://fbref.com/en/matches/7c4e6562/Mainz-05-Wolfsburg-January-22-2011-Bundesliga","Wolfsburg","Away","Diego",NA,"BRA","MF","25-328",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
