"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Breel Embolo",36,"SUI","FW","24-335",90,0,0,0,0,0,0,0,0,33,0,0,2,0,0,0.2,3,0,17,21,81,1,26,0,3,2
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","AM","33-142",78,0,0,0,0,2,1,1,0,48,0,0,2,0.1,0.1,0,4,0,37,42,88.1,6,34,1,1,1
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","AM","28-311",12,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,4,8,50,2,9,0,0,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","AM","24-305",90,0,0,0,0,3,2,0,0,56,1,2,1,0.2,0.2,0,2,0,30,44,68.2,5,39,1,0,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","László Bénes",22,"SVK","CM","24-128",60,0,0,0,0,2,0,0,0,52,0,1,2,0.1,0.1,0.3,4,0,34,44,77.3,2,34,1,0,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Joe Scally",29,"USA","CM","19-015",30,0,0,0,0,1,1,0,0,27,0,0,0,0.1,0.1,0,2,1,19,23,82.6,2,19,0,1,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","20-243",90,0,0,0,0,2,0,0,0,69,3,1,2,0.1,0.1,0,1,0,43,50,86,5,48,2,6,6
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","WB","18-245",60,0,0,0,0,0,0,0,0,30,2,1,3,0,0,0,0,0,17,20,85,3,15,0,0,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","WB","24-162",30,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,1,0,5,9,55.6,1,12,2,0,0
"Fußball-Bundesliga","2022-01-15","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","3-4-3",1,1.2,"Nico Elvedi · 81&rsquor;","2","0","Bayer Leverkusen","4-2-3-1",2,5.3,"Robert Andrich · 51&rsquor; Patrik Schick · 74&rsquor;","3","0","https://fbref.com/en/matches/f3ca871d/Monchengladbach-Bayer-Leverkusen-January-15-2022-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","WB","29-141",79,0,0,0,0,0,0,0,0,60,1,0,5,0,0,0.1,3,0,32,45,71.1,2,35,1,2,0
