"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Nathan N'Goumou",19,"FRA","FW","22-314",55,0,0,0,0,1,1,0,0,28,1,0,1,0,0,0,1,0,20,24,83.3,2,12,2,0,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Hannes Wolf",11,"AUT","RW,LW","23-281",35,0,1,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.1,1,1,16,20,80,1,22,4,2,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","LW,FW","29-318",90,0,0,0,0,2,1,0,0,48,1,0,2,0.1,0.1,0,4,1,32,41,78,4,29,3,0,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW,AM","30-192",76,0,0,0,0,0,0,0,0,48,0,1,1,0,0,0.5,7,0,36,46,78.3,4,26,3,1,1
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","RW","31-344",14,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0.1,1,0,9,11,81.8,1,5,0,0,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","AM","31-337",55,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,1,0,28,33,84.8,5,20,1,1,1
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","LW,AM","34-149",35,2,0,0,0,2,2,1,0,36,1,0,0,0.1,0.1,0.1,3,0,25,30,83.3,5,23,0,0,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM","21-250",76,0,0,0,0,2,2,1,0,62,1,2,0,0.1,0.1,0,1,0,40,45,88.9,6,45,4,3,2
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","DM","25-312",14,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,21,24,87.5,2,14,0,0,0
"Fußball-Bundesliga","2023-01-22","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-2-3-1",2,1,"Lars Stindl · 82&rsquor; Lars Stindl · 90+3&rsquor;","3","0","Bayer Leverkusen","3-4-3",3,2,"Mitchel Bakker · 21&rsquor; Amine Adli · 43&rsquor; Nadiem Amiri · 67&rsquor;","2","0","https://fbref.com/en/matches/deef21aa/Monchengladbach-Bayer-Leverkusen-January-22-2023-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","DM","27-136",90,0,0,0,0,2,0,1,0,100,1,2,1,0.1,0.1,0,1,1,82,93,88.2,3,61,0,0,0
