"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Mike Hanke",NA,"GER","FW","27-079",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Igor de Camargo",NA,"BEL","FW,MF","27-256",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Karim Matmour",NA,"ALG","FW,MF","25-212",33,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Mohammadou Idrissou",NA,"CMR","FW","30-321",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Roman Neustädter",NA,"RUS","DF,MF","22-339",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","23-176",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","29-236",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","21-237",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","32-084",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Mönchengladbach","4-4-1-1",1,NA,"Martin Stranzl · 65&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,NA,"Michal Kadlec · 37&rsquor; Gonzalo Castro · 45&rsquor; Gonzalo Castro · 73&rsquor;","1","0","https://fbref.com/en/matches/aff35c81/Monchengladbach-Bayer-Leverkusen-January-23-2011-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-345",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
