"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-328",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Marcel Meeuwis",NA,"NED","MF","29-175",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Raúl Bobadilla",NA,"PAR","FW","22-310",80,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","29-091",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-343",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","22-267",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","28-327",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-071",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Roberto Colautti",NA,"ISR","FW","27-335",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Mönchengladbach","4-4-2",1,NA,"Marco Reus · 60&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Miroslav Klose · 73&rsquor;","3","0","https://fbref.com/en/matches/bb7a85c3/Monchengladbach-Bayern-Munich-April-24-2010-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","31-175",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
