"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Breel Embolo",36,"SUI","FW","24-304",90,0,0,0,0,2,0,1,0,33,0,1,1,0,0,0.3,5,0,18,27,66.7,1,26,2,5,5
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","AM","28-280",90,0,0,0,0,2,1,0,0,33,1,0,1,0.1,0.1,0.1,4,0,19,25,76,6,24,2,3,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","AM","24-274",64,1,0,0,0,1,1,0,0,30,1,2,2,0.1,0.1,0,1,0,13,18,72.2,1,17,1,1,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","CM","30-299",26,0,0,0,0,2,1,0,0,24,0,0,0,0.3,0.3,0.1,1,0,18,21,85.7,4,13,0,1,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","László Bénes",22,"SVK","CM","24-097",63,0,0,0,0,0,0,0,0,45,2,0,2,0,0,0,0,0,28,36,77.8,1,25,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","AM","24-131",27,0,0,0,0,2,0,0,0,14,0,0,0,0.4,0.4,0.1,3,0,5,6,83.3,1,13,1,5,3
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","20-212",90,0,0,0,0,1,1,1,0,58,4,1,0,0,0,0,3,1,39,45,86.7,6,41,3,4,3
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","WB","18-214",88,0,0,0,0,0,0,0,0,54,0,2,3,0,0,0.1,5,2,37,46,80.4,4,30,3,1,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Keanan Bennetts",37,"ENG","WB","22-281",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,1,1,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Joe Scally",29,"USA","WB","18-349",75,0,1,0,0,0,0,0,0,32,1,1,2,0,0,0.1,2,1,19,25,76,0,13,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","WB","30-306",15,0,0,0,0,1,1,0,0,14,1,0,0,0,0,0.1,1,0,3,12,25,0,3,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","CB","26-243",90,1,0,1,1,2,0,0,0,75,1,3,0,0.9,0.1,0,1,0,52,62,83.9,7,54,1,2,1
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Denis Zakaria",8,"SUI","CB","25-025",90,0,0,0,0,0,0,0,0,89,0,0,3,0,0,0,3,0,76,82,92.7,5,57,2,4,4
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Matthias Ginter",28,"GER","CB","27-330",90,0,0,0,0,4,2,0,0,85,0,1,1,0.3,0.3,0.3,4,0,59,76,77.6,6,55,1,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Mönchengladbach","Home","Yann Sommer",1,"SUI","GK","32-363",90,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,44,55,80,0,36,0,0,0
"Fußball-Bundesliga","2021-12-15","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","3-4-3",2,2,"Florian Neuhaus · 6&rsquor; Ramy Bensebaini (P) · 54&rsquor;","2","0","Eintracht Frankfurt","3-4-3",3,2.3,"Rafael Borré · 45&rsquor; Jesper Lindstrøm · 50&rsquor; Daichi Kamada · 55&rsquor; Tuta · 70&rsquor;","6","1","https://fbref.com/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga","Eintracht Frankfurt","Away","Rafael Borré",19,"COL","FW","26-091",72,1,1,0,0,1,1,1,0,31,0,0,0,0.7,0.7,0.4,1,1,15,23,65.2,2,11,0,2,2
