"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","FW","28-270",28,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,7,11,63.6,1,6,0,0,0
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Breel Embolo",36,"SUI","FW","24-294",62,0,0,0,0,1,0,0,0,21,0,0,0,0.1,0.1,0.3,3,0,11,14,78.6,1,18,2,3,2
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","24-121",70,0,0,0,0,2,0,0,0,28,0,0,1,0.2,0.2,0,4,0,12,19,63.2,2,20,2,1,0
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","FW","33-101",20,0,0,0,0,0,0,0,0,14,2,1,0,0,0,0,0,0,9,10,90,1,7,0,0,0
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","LM,AM","29-144",90,0,0,0,0,4,0,0,0,59,0,0,1,0.2,0.2,0.1,9,0,41,47,87.2,2,36,2,1,1
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","20-202",90,0,0,0,0,1,1,1,0,62,1,0,0,0.1,0.1,0,5,0,42,49,85.7,6,48,2,7,5
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Denis Zakaria",8,"SUI","CM","25-015",90,0,0,0,0,3,1,0,0,69,1,1,2,0.3,0.3,0,1,0,50,55,90.9,9,44,2,3,1
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Joe Scally",29,"USA","RB,WB","18-339",90,0,0,0,0,0,0,0,0,58,2,1,1,0,0,0,3,0,36,50,72,1,30,3,0,0
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","WB","29-100",29,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,8,16,50,0,6,0,0,0
"Fußball-Bundesliga","2021-12-05","Fußball-Bundesliga (Matchweek 14)","Mönchengladbach","3-4-1-2",0,0.9,"","2","0","Freiburg","4-4-2",6,2,"Maximilian Eggestein · 2&rsquor; Kevin Schade · 5&rsquor; Philipp Lienhart · 12&rsquor; Nicolas Höfler · 19&rsquor; Lucas Höler · 25&rsquor; Nico Schlotterbeck · 37&rsquor;","1","0","https://fbref.com/en/matches/1dd75329/Monchengladbach-Freiburg-December-5-2021-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","RM","30-296",61,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,2,0,19,23,82.6,1,15,2,0,0
