"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Igor de Camargo",NA,"BEL","FW,MF","27-219",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","30-215",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","21-200",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","23-139",77,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Mohammadou Idrissou",NA,"CMR","FW","30-284",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Roman Neustädter",NA,"RUS","DF,MF","22-302",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","29-199",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-308",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Jens Wissing",NA,"GER","DF","22-349",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Mönchengladbach","4-3-2-1",1,NA,"Igor de Camargo · 48&rsquor;","1","0","Hamburger SV","4-2-3-1",2,NA,"Eljero Elia · 46&rsquor; Piotr Trochowski · 72&rsquor;","0","0","https://fbref.com/en/matches/dfcd7937/Monchengladbach-Hamburger-SV-December-17-2010-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","32-047",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
