"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Karim Matmour",NA,"ALG","FW,MF","24-276",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Thomas Kleine",NA,"GER","DF","32-090",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","29-064",75,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Raúl Bobadilla",NA,"PAR","FW","22-283",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-316",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-044",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","28-300",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Marcel Meeuwis",NA,"NED","MF","29-148",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-301",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","31-148",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Dante",NA,"BRA","DF","26-161",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Roel Brouwers",NA,"NED","DF","28-120",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Tony Jantschke",NA,"GER","DF,MF","19-355",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Mönchengladbach","Home","Logan Bailly",NA,"BEL","GK","24-091",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Hamburger SV","Away","Mladen Petrić",NA,"CRO","FW","29-086",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 28)","Mönchengladbach","4-4-2",1,NA,"Roel Brouwers · 43&rsquor;","1","0","Hamburger SV","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/f29eaf5f/Monchengladbach-Hamburger-SV-March-28-2010-Bundesliga","Hamburger SV","Away","Ruud van Nistelrooy",NA,"NED","FW","33-270",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
