"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","28-323",84,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Oliver Neuville",NA,"GER","FW","36-225",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Karim Matmour",NA,"ALG","FW,MF","24-170",84,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Roberto Colautti",NA,"ISR","FW","27-202",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-210",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Thomas Kleine",NA,"GER","DF","31-349",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","28-194",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","22-134",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-195",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 16)","Mönchengladbach","4-4-1-1",5,NA,"Karim Haggui (OG) · 14&rsquor; Rob Friend · 22&rsquor; Constant Djakpa (OG) · 58&rsquor; Michael Bradley · 68&rsquor; Karim Haggui (OG) · 90&rsquor;","1","0","Hannover 96","4-1-2-1-2",3,NA,"Didier Ya Konan · 36&rsquor; Didier Ya Konan · 69&rsquor; Didier Ya Konan · 84&rsquor; Christian Schulz · 87&rsquor;","6","1","https://fbref.com/en/matches/2f51a742/Monchengladbach-Hannover-96-December-12-2009-Bundesliga","Mönchengladbach","Home","Jean-Sébastien Jaurès",NA,"FRA","DF","32-073",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
