"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","24-218",88,0,0,0,0,4,1,1,0,39,0,0,0,0.3,0.3,0.4,8,1,17,22,77.3,1,26,8,10,7
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","FW","33-198",2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,4,50,0,0,0,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Breel Embolo",36,"SUI","AM,FW","25-026",90,0,0,0,0,2,1,0,0,54,4,0,1,0.2,0.2,0.2,5,1,29,35,82.9,6,26,4,4,2
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","AM","29-002",64,1,0,1,1,2,0,0,0,38,0,0,0,0.9,0.1,0.2,5,0,25,33,75.8,15,21,2,2,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","CM,AM","31-021",26,0,0,0,0,0,0,0,0,31,1,2,2,0,0,0,0,0,19,21,90.5,2,13,0,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","20-299",90,0,0,0,0,0,0,0,0,71,3,2,2,0,0,0,1,0,48,55,87.3,4,39,4,1,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","CM","24-361",90,0,0,0,0,1,0,0,0,79,0,1,2,0.1,0.1,0,2,0,58,70,82.9,4,42,2,1,1
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","WB","18-301",77,0,1,0,0,0,0,0,0,40,1,0,2,0,0,0.1,3,1,22,31,71,1,11,1,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","WB","29-197",13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,5,80,0,1,0,0,0
"Fußball-Bundesliga","2022-03-12","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","3-4-3",2,1.8,"Alassane Pléa (P) · 24&rsquor; Matthias Ginter · 59&rsquor;","3","0","Hertha BSC","3-1-4-2",0,0.6,"","0","0","https://fbref.com/en/matches/b927ea34/Monchengladbach-Hertha-BSC-March-12-2022-Bundesliga","Mönchengladbach","Home","Joe Scally",29,"USA","WB","19-071",90,0,0,0,0,2,1,1,0,56,4,0,1,0.3,0.3,0,2,1,32,36,88.9,1,16,1,0,0
