"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Breel Embolo",36,"SUI","FW","25-061",90,1,0,0,0,2,2,0,0,40,1,0,0,0.2,0.2,0.4,5,0,18,29,62.1,4,28,3,4,2
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","AM","29-037",90,0,0,0,0,3,1,1,0,33,1,0,1,0.2,0.2,0.2,5,0,17,24,70.8,5,22,1,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","AM","29-276",90,0,1,0,0,2,0,0,0,46,0,1,0,0.3,0.3,0.3,9,1,30,38,78.9,2,32,2,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","20-334",70,0,0,0,0,2,0,1,0,52,4,1,3,0.2,0.2,0,1,0,36,41,87.8,9,34,1,4,3
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","László Bénes",22,"SVK","CM","24-219",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","CM","33-233",16,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,2,0,7,8,87.5,2,4,0,1,1
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","CM","25-031",45,0,0,0,0,0,0,0,0,22,2,2,0,0,0,0,1,0,14,18,77.8,1,18,1,2,2
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","CM","31-056",45,0,0,0,0,0,0,0,0,35,1,0,3,0,0,0,0,0,25,30,83.3,3,25,0,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","CB,WB","27-000",90,0,0,0,0,2,0,0,0,74,2,2,3,0.1,0.1,0,1,0,49,58,84.5,4,46,2,1,1
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Mönchengladbach","3-4-3",1,1.2,"Breel Embolo · 85&rsquor;","3","0","Köln","4-2-3-1",3,2,"Anthony Modeste · 5&rsquor; Florian Kainz · 20&rsquor; Dejan Ljubicic · 34&rsquor;","2","0","https://fbref.com/en/matches/4e0481f4/Monchengladbach-Koln-April-16-2022-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","WB","29-232",45,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,24,33,72.7,1,19,0,1,1
