"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-064",90,1,0,0,0,5,2,0,0,29,0,0,2,0.9,0.9,0,2,0,13,14,92.9,1,20,2,3,2
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","LW","34-044",51,1,0,0,0,1,1,1,0,20,0,0,0,0,0,0,0,0,9,16,56.3,0,10,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","LW","29-213",39,0,1,0,0,2,0,0,0,35,0,0,1,0.4,0.4,0.2,2,2,25,31,80.6,6,32,3,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW","30-087",82,0,2,0,0,0,0,0,0,52,0,0,1,0,0,0.8,7,3,34,47,72.3,2,40,2,1,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","AM","31-239",8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.3,1,0,4,6,66.7,2,6,1,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","AM","31-232",77,0,0,0,0,0,0,0,0,42,1,0,2,0,0,0,0,0,22,31,71,3,21,0,3,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Yvandro Borges Sanches",38,"LUX","RW,AM","18-138",13,0,0,0,0,1,0,0,0,8,1,0,0,0.1,0.1,0,2,0,4,5,80,0,5,1,1,1
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM","21-145",90,0,0,0,0,0,0,0,0,62,1,0,1,0,0,0.2,6,2,47,49,95.9,9,52,1,8,5
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","DM","27-031",90,0,0,0,0,0,0,0,0,76,6,1,1,0,0,0,1,0,57,65,87.7,5,43,1,3,3
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","LB","27-176",82,2,0,1,1,2,1,1,0,71,1,0,1,1.4,0.7,0.3,0,0,45,56,80.4,6,46,4,3,1
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","LB","19-147",8,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,5,100,0,5,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Nico Elvedi",30,"SUI","CB","26-009",90,0,0,0,0,1,0,0,0,97,0,0,0,0.1,0.1,0,0,0,82,86,95.3,5,75,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Marvin Friedrich",5,"GER","CB","26-300",90,1,0,0,0,1,1,0,0,99,1,0,1,0.1,0.1,0,0,0,86,94,91.5,2,77,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Joe Scally",29,"USA","RB","19-282",82,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.3,3,1,52,61,85.2,4,39,2,3,2
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","RB","30-043",8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,8,50,0,2,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Mönchengladbach","Home","Yann Sommer",1,"SUI","GK","33-296",90,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,74,76,97.4,0,58,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Köln","Away","Steffen Tigges",21,"GER","FW","24-070",60,0,0,0,0,1,0,0,0,18,0,1,1,0.1,0.1,0,0,0,5,13,38.5,0,4,1,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Köln","Away","Florian Dietz",33,"GER","FW","24-067",30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,7,57.1,0,7,1,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Mönchengladbach","4-2-3-1",5,3,"Marvin Friedrich · 27&rsquor; Ramy Bensebaini (P) · 45+2&rsquor; Lars Stindl · 47&rsquor; Ramy Bensebaini · 76&rsquor; Marcus Thuram · 90+1&rsquor;","2","0","Köln","4-1-3-2",2,1.3,"Florian Kainz (P) · 31&rsquor; Florian Kainz · 45+1&rsquor; Denis Huseinbasic · 83&rsquor;","4","1","https://fbref.com/en/matches/17ff2fd2/Monchengladbach-Koln-October-9-2022-Bundesliga","Köln","Away","Linton Maina",37,"GER","FW","23-108",74,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,11,16,68.8,2,18,2,2,0
