"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-042",89,0,1,0,0,2,2,0,0,35,1,1,3,0.2,0.2,0.8,6,2,16,23,69.6,5,27,11,4,2
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Nathan N'Goumou",19,"FRA","FW","22-187",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","LW","34-022",81,0,1,0,0,6,0,1,0,45,1,1,1,0.2,0.2,0.6,8,1,27,30,90,4,21,0,2,1
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Hannes Wolf",11,"AUT","LW","23-154",4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","LW","31-217",5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,0,2,1,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW","30-065",89,2,0,0,0,7,5,0,0,48,0,1,1,1.6,1.6,0.5,9,1,28,35,80,2,29,5,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Stefan Lainer",18,"AUT","RW","30-021",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,100,0,1,1,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","AM","31-210",90,0,0,0,0,0,0,0,0,45,2,0,1,0,0,0.5,5,0,28,34,82.4,4,28,3,4,1
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM","21-123",90,0,0,0,0,1,0,0,0,65,1,1,2,0,0,0,3,0,41,49,83.7,4,46,1,9,4
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","DM","27-009",89,0,0,0,0,0,0,1,0,49,4,2,1,0,0,0,1,0,33,36,91.7,3,21,0,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Tony Jantschke",24,"GER","DM","32-163",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100,0,3,0,0,0
"Fußball-Bundesliga","2022-09-17","Fußball-Bundesliga (Matchweek 7)","Mönchengladbach","4-2-3-1",3,2.7,"Jonas Hofmann · 10&rsquor; Jonas Hofmann · 35&rsquor; Ramy Bensebaini · 53&rsquor;","2","0","RB Leipzig","4-2-3-1",0,0.9,"","2","0","https://fbref.com/en/matches/3ca096b5/Monchengladbach-RB-Leipzig-September-17-2022-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","LB","27-154",90,1,0,0,0,2,1,0,0,60,1,1,2,0.4,0.4,0,2,0,35,47,74.5,5,30,3,2,2
