"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Jordan Pefok",13,"USA","FW","27-150",63,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,1,0,13,16,81.3,2,9,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","FW","30-197",27,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.2,4,0,8,14,57.1,0,5,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Franck Honorat",9,"FRA","FW","27-043",63,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.3,6,0,17,26,65.4,0,15,0,2,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Nathan N'Goumou",19,"FRA","FW","23-193",27,0,0,0,0,1,0,0,0,24,1,0,1,0,0,0.1,1,0,14,17,82.4,3,13,1,3,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","CM","22-129",79,0,0,0,0,0,0,0,0,32,2,1,0,0,0,0,2,0,18,21,85.7,1,24,0,5,2
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Robin Hack",25,"GER","CM","25-027",11,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0,0,0,4,6,66.7,0,3,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","CM","28-015",90,0,0,0,0,2,0,0,0,49,0,2,2,0.2,0.2,0,0,0,37,41,90.2,3,20,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Rocco Reitz",27,"GER","CM","21-117",78,0,0,0,0,4,1,0,0,32,2,0,3,0.2,0.2,0,4,0,8,19,42.1,3,14,4,1,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Christoph Kramer",23,"GER","CM","32-216",12,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,19,22,86.4,3,17,1,1,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Mönchengladbach","3-5-2",0,0.8,"","1","0","RB Leipzig","4-4-2",1,0.7,"Timo Werner · 75&rsquor;","1","0","https://fbref.com/en/matches/e0aca9dc/Monchengladbach-RB-Leipzig-September-23-2023-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","WB","20-131",90,0,0,0,0,0,0,0,0,53,1,1,2,0,0,0,2,0,35,45,77.8,4,25,4,3,3
