"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Igor de Camargo",NA,"BEL","FW,MF","27-269",82,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-358",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Karim Matmour",NA,"ALG","FW,MF","25-225",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Mike Hanke",NA,"GER","FW","27-092",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Mohammadou Idrissou",NA,"CMR","FW","30-334",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Roman Neustädter",NA,"RUS","DF,MF","22-352",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","30-265",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Håvard Nordtveit",NA,"NOR","DF,MF","20-229",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","21-250",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Mönchengladbach","4-4-2",2,NA,"Dante · 29&rsquor; Igor de Camargo · 32&rsquor; Dante · 87&rsquor;","4","1","Stuttgart","4-4-2",3,NA,"Pavel Pogrebnyak · 51&rsquor; Martin Harnik · 56&rsquor; Timo Gebhart (P) · 87&rsquor;","2","0","https://fbref.com/en/matches/cd745c3d/Monchengladbach-Stuttgart-February-5-2011-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","32-097",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
