"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-090",90,1,0,0,0,3,1,1,0,31,1,0,0,0.3,0.3,0,3,0,18,20,90,5,14,2,2,1
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","LW","29-239",86,0,2,0,0,1,1,0,0,52,0,1,0,0.1,0.1,0.4,5,3,30,36,83.3,6,30,1,8,1
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","LW","19-173",4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW","30-113",89,1,0,0,0,3,1,0,0,68,1,1,0,0.2,0.2,0,1,0,37,54,68.5,3,35,2,2,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",7,"GER","RW","31-265",1,1,0,0,0,1,1,0,0,2,0,0,0,0.1,0.1,0,0,0,1,1,100,1,1,1,0,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","AM,CB","31-258",90,0,0,0,0,1,0,0,0,50,1,0,1,0,0,0.1,4,0,35,45,77.8,3,19,1,0,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM","21-171",90,0,1,0,0,1,1,0,0,68,2,2,1,0,0,0.2,6,1,49,58,84.5,9,42,0,1,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","DM","27-057",90,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,1,0,45,48,93.8,2,29,0,0,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","LB","27-202",90,0,0,0,0,3,1,1,0,84,3,0,2,0.1,0.1,0,2,1,51,66,77.3,7,35,3,1,0
"Fußball-Bundesliga","2022-11-04","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-2-3-1",3,0.9,"Jonas Hofmann · 4&rsquor; Marcus Thuram · 25&rsquor; Patrick Herrmann · 90+4&rsquor;","2","0","Stuttgart","4-4-2",1,1.1,"Tiago Tomás · 35&rsquor;","1","0","https://fbref.com/en/matches/49542474/Monchengladbach-Stuttgart-November-4-2022-Bundesliga","Mönchengladbach","Home","Tony Jantschke",24,"GER","CB","32-211",79,0,0,0,0,0,0,0,0,66,1,0,3,0,0,0,0,0,52,57,91.2,1,38,0,0,0
