"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","28-288",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Karim Matmour",NA,"ALG","FW,MF","24-135",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Oliver Neuville",NA,"GER","FW","36-190",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-175",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","28-159",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","22-099",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-160",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Jean-Sébastien Jaurès",NA,"FRA","DF","32-038",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Dante",NA,"BRA","DF","26-020",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Roel Brouwers",NA,"NED","DF","27-344",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Tobias Levels",NA,"GER","DF","22-350",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Mönchengladbach","Home","Logan Bailly",NA,"BEL","GK","23-315",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Stuttgart","Away","Pavel Pogrebnyak",NA,"RUS","FW","25-364",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Stuttgart","Away","Alexander Hleb",NA,"BLR","MF","28-190",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Stuttgart","Away","Yıldıray Baştürk",NA,"TUR","MF","30-318",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Stuttgart","Away","Élson",NA,"BRA","MF","27-356",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 12)","Mönchengladbach","4-4-1-1",0,NA,"","1","0","Stuttgart","4-3-2-1",0,NA,"","2","0","https://fbref.com/en/matches/70ab3c8a/Monchengladbach-Stuttgart-November-7-2009-Bundesliga","Stuttgart","Away","Julian Schieber",NA,"GER","FW","20-267",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
