"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-260",86,0,0,0,0,4,1,0,0,31,0,0,1,0.5,0.5,0,0,0,16,18,88.9,2,25,0,3,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Marvin Friedrich",5,"GER","FW","27-131",4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","LW","34-240",68,0,0,0,0,1,1,0,0,48,0,0,1,0,0,0.1,2,0,37,41,90.2,0,31,0,0,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","LW","30-044",22,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.1,1,0,14,18,77.8,3,17,2,1,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW,AM","30-283",90,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.1,3,0,49,59,83.1,9,51,1,1,1
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","AM","26-038",68,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,1,0,30,38,78.9,3,32,3,0,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Nathan N'Goumou",19,"FRA","RW","23-040",22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.1,2,0,16,21,76.2,0,19,3,1,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM","21-341",90,0,0,0,0,2,2,0,0,104,2,1,3,0.1,0.1,0,1,0,82,88,93.2,12,80,6,5,3
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Julian Weigl",8,"GER","DM","27-227",90,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,2,0,68,68,100,8,53,2,1,0
"Fußball-Bundesliga","2023-04-23","Fußball-Bundesliga (Matchweek 29)","Mönchengladbach","4-2-3-1",0,0.7,"","3","0","Union Berlin","3-5-2",1,1.3,"Sheraldo Becker · 60&rsquor;","2","0","https://fbref.com/en/matches/e12d79d5/Monchengladbach-Union-Berlin-April-23-2023-Bundesliga","Mönchengladbach","Home","Ramy Bensebaini",25,"ALG","LB","28-007",68,0,0,0,0,1,0,0,0,60,0,1,1,0.1,0.1,0,1,0,46,54,85.2,5,46,1,2,0
