"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Raúl Bobadilla",NA,"PAR","FW","22-226",79,2,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","18-352",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Roberto Colautti",NA,"ISR","FW","27-251",74,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","29-007",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-259",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Thomas Kleine",NA,"GER","DF","32-033",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","22-183",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Thorben Marx",NA,"GER","MF","28-243",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-244",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Mönchengladbach","4-4-2",4,NA,"Marco Reus · 4&rsquor; Roberto Colautti · 13&rsquor; Raúl Bobadilla · 18&rsquor; Raúl Bobadilla · 35&rsquor;","2","0","Werder Bremen","4-1-2-1-2",3,NA,"Mesut Özil · 26&rsquor; Claudio Pizarro · 40&rsquor; Torsten Frings (P) · 85&rsquor;","3","0","https://fbref.com/en/matches/0f38ddb0/Monchengladbach-Werder-Bremen-January-30-2010-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","31-091",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
