"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-223",75,1,0,0,0,5,4,0,0,35,0,0,1,1.4,1.4,0.2,4,0,13,20,65,1,25,3,4,3
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","FW","30-007",15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,5,9,55.6,0,8,2,1,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","LW","34-203",84,0,0,0,0,6,2,0,0,58,0,0,0,0.8,0.8,0,5,1,45,48,93.8,8,38,5,1,1
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Hannes Wolf",11,"AUT","LW","23-335",6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,100,0,2,0,1,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","RW","30-246",90,0,1,0,0,3,1,0,0,68,1,0,1,0.5,0.5,1.9,12,1,47,56,83.9,5,43,6,2,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","AM,CM","26-001",90,1,0,0,0,5,1,1,0,61,0,2,2,0.2,0.2,0,2,0,39,49,79.6,4,42,6,1,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Kouadio Koné",17,"FRA","DM,CM","21-304",90,0,0,0,0,0,0,0,0,70,1,1,0,0,0,0,3,0,53,61,86.9,6,53,1,5,2
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","DM,CB","32-026",90,0,0,0,0,0,0,0,0,60,2,1,1,0,0,0,1,0,46,51,90.2,1,28,0,0,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","LB,LM","19-306",90,0,0,0,0,0,0,0,0,67,2,0,0,0,0,0.1,3,0,46,57,80.7,2,40,0,1,1
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Nico Elvedi",30,"SUI","CB","26-168",90,0,0,0,0,1,0,0,0,78,2,2,1,0.3,0.3,0,2,0,57,62,91.9,5,54,1,1,0
"Fußball-Bundesliga","2023-03-17","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,3.4,"Marcus Thuram · 48&rsquor; Florian Neuhaus · 73&rsquor;","1","0","Werder Bremen","3-5-2",2,1.3,"Marvin Ducksch · 65&rsquor; Marvin Ducksch · 89&rsquor;","1","0","https://fbref.com/en/matches/7955d3c4/Monchengladbach-Werder-Bremen-March-17-2023-Bundesliga","Mönchengladbach","Home","Ko Itakura",3,"JPN","CB","26-049",90,0,0,0,0,1,0,0,0,71,0,1,2,0.1,0.1,0,1,0,54,61,88.5,0,50,2,1,1
