"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Marcus Thuram",10,"FRA","FW","25-246",90,1,1,0,0,4,2,0,0,45,0,1,0,1.2,1.2,0.2,3,1,21,30,70,1,40,6,4,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Alassane Pléa",14,"FRA","LW","30-030",89,0,1,0,0,1,1,0,0,46,1,0,1,0,0,0.9,2,1,30,39,76.9,4,30,1,2,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Luca Netz",20,"GER","LW","19-329",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Nathan N'Goumou",19,"FRA","RW","23-026",68,1,0,0,0,3,1,0,0,32,2,0,1,0.1,0.1,0,2,1,13,19,68.4,3,22,2,5,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Hannes Wolf",11,"AUT","RW","23-358",22,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,7,8,87.5,1,9,1,2,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Lars Stindl",13,"GER","AM","34-226",68,0,0,0,0,1,0,0,0,43,1,1,0,0,0,0.2,4,0,30,36,83.3,4,25,0,1,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Jonas Hofmann",23,"GER","AM","30-269",22,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,16,18,88.9,5,12,0,1,1
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Florian Neuhaus",32,"GER","DM","26-024",89,0,0,0,0,1,0,0,0,56,4,0,1,0.1,0.1,0,6,1,29,41,70.7,3,33,0,2,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Marvin Friedrich",5,"GER","CB","27-117",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fußball-Bundesliga","2023-04-09","Fußball-Bundesliga (Matchweek 27)","Mönchengladbach","4-2-3-1",2,1.6,"Nathan N'Goumou · 34&rsquor; Marcus Thuram · 63&rsquor;","0","0","Wolfsburg","4-3-3",0,1.5,"","1","0","https://fbref.com/en/matches/5a8c9445/Monchengladbach-Wolfsburg-April-9-2023-Bundesliga","Mönchengladbach","Home","Christoph Kramer",6,"GER","DM","32-049",90,0,0,0,0,1,1,0,0,40,1,2,1,0,0,0.3,3,0,27,33,81.8,2,25,1,2,1
