"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Raúl Bobadilla",NA,"PAR","FW","22-268",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Oliver Neuville",NA,"GER","FW","36-316",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Roberto Colautti",NA,"ISR","FW","27-293",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Rob Friend",NA,"CAN","FW,MF","29-049",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Juan Arango",NA,"VEN","MF","29-301",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Michael Bradley",NA,"USA","MF","22-225",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Marcel Meeuwis",NA,"NED","MF","29-133",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Patrick Herrmann",NA,"GER","FW,MF","19-029",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Marco Reus",NA,"GER","FW,MF","20-286",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Mönchengladbach","4-4-2",0,NA,"","1","0","Wolfsburg","4-1-2-1-2",4,NA,"Zvjezdan Misimović · 41&rsquor; Edin Džeko (P) · 49&rsquor; Christian Gentner · 58&rsquor; Edin Džeko · 80&rsquor;","0","0","https://fbref.com/en/matches/51cf482d/Monchengladbach-Wolfsburg-March-13-2010-Bundesliga","Mönchengladbach","Home","Filip Daems",NA,"BEL","DF","31-133",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
