"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Angelos Charisteas",NA,"GRE","FW","30-011",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Eric Maxim Choupo-Moting",NA,"CMR","FW,MF","20-334",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Mike Frantz",NA,"GER","FW,MF","23-129",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Marcel Risse",NA,"GER","DF,FW","20-065",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Albert Bunjaku",NA,"KVX","FW","26-083",84,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","26-050",6,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","İlkay Gündoğan",NA,"GER","MF","19-119",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Mickaël Tavares",NA,"SEN","MF","27-118",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Andreas Ottl",NA,"GER","MF","24-356",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","26-361",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Breno Borges",NA,"BRA","DF","20-130",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Andreas Wolf",NA,"GER","DF","27-253",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Dennis Diekmeier",NA,"GER","DF,MF","20-123",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Nürnberg","Home","Raphael Schäfer",NA,"GER","GK","31-021",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Ivica Olić",NA,"CRO","FW","30-159",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Miroslav Klose",NA,"GER","FW","31-256",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Mario Gómez",NA,"GER","FW","24-225",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Thomas Müller",NA,"GER","FW,MF","20-160",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Bastian Schweinsteiger",NA,"GER","DF,MF","25-203",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Mark van Bommel",NA,"NED","MF","32-304",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Arjen Robben",NA,"NED","FW,MF","26-028",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Hamit Altıntop",NA,"TUR","DF,MF","27-074",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Diego Contento",NA,"GER","DF","19-295",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Holger Badstuber",NA,"GER","DF","20-344",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Martín Demichelis",NA,"ARG","DF,MF","29-062",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Philipp Lahm",NA,"GER","DF,MF","26-101",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Nürnberg","4-3-3",1,NA,"İlkay Gündoğan · 54&rsquor;","2","0","Bayern Munich","4-4-2",1,NA,"Thomas Müller · 38&rsquor;","1","0","https://fbref.com/en/matches/72e09c07/Nurnberg-Bayern-Munich-February-20-2010-Bundesliga","Bayern Munich","Away","Hans-Jörg Butt",NA,"GER","GK","35-268",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
