"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Eric Maxim Choupo-Moting",NA,"CMR","FW,MF","21-032",68,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Marcel Risse",NA,"GER","DF,FW","20-128",22,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Albert Bunjaku",NA,"KVX","FW","26-146",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","İlkay Gündoğan",NA,"GER","MF","19-182",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Mickaël Tavares",NA,"SEN","MF","27-181",68,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Isaac Boakye",NA,"GHA","FW","28-149",22,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Mike Frantz",NA,"GER","FW,MF","23-192",79,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","26-113",11,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Andreas Ottl",NA,"GER","MF","25-054",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","27-059",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Håvard Nordtveit",NA,"NOR","DF,MF","19-307",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Dominic Maroh",NA,"SVN","DF","23-051",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Dennis Diekmeier",NA,"GER","DF,MF","20-186",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Nürnberg","Home","Raphael Schäfer",NA,"GER","GK","31-084",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Lucas Barrios",NA,"PAR","FW","25-162",90,3,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Kevin Großkreutz",NA,"GER","DF,FW","21-279",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Jakub Błaszczykowski",NA,"POL","MF","24-131",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Felipe Santana",NA,"BRA","DF","24-038",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Nelson Valdez",NA,"PAR","FW","26-147",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Markus Feulner",NA,"GER","MF","28-071",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Nuri Şahin",NA,"TUR","MF","21-231",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Sven Bender",NA,"GER","DF,MF","20-362",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Tamás Hajnal",NA,"HUN","MF","29-040",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Marcel Schmelzer",NA,"GER","DF","22-092",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Mats Hummels",NA,"GER","DF","21-129",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Neven Subotić",NA,"SRB","DF","21-135",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Patrick Owomoyela",NA,"GER","DF,MF","30-170",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Nürnberg","4-1-4-1",2,NA,"Mike Frantz · 30&rsquor; Christian Eigler · 84&rsquor;","1","0","Dortmund","4-2-3-1",3,NA,"Lucas Barrios · 27&rsquor; Lucas Barrios · 63&rsquor; Lucas Barrios · 78&rsquor;","0","0","https://fbref.com/en/matches/4871c8b1/Nurnberg-Dortmund-April-24-2010-Bundesliga","Dortmund","Away","Roman Weidenfeller",NA,"GER","GK","29-261",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
