"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Julian Schieber",NA,"GER","FW","21-308",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Rubin Okotie",NA,"AUT","FW","23-195",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Mehmet Ekici",NA,"TUR","MF","20-268",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Jens Hegeler",NA,"GER","DF,MF","22-330",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Marvin Plattenhardt",NA,"GER","DF,MF","18-326",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","İlkay Gündoğan",NA,"GER","MF","20-055",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","26-351",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Timmy Simons",NA,"BEL","DF,MF","34-007",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Almog Cohen",NA,"ISR","MF","22-108",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","27-297",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Andreas Wolf",NA,"GER","DF","28-189",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Philipp Wollscheid",NA,"GER","DF","21-287",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Juri Judt",NA,"GER","DF,MF","24-147",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Nürnberg","Home","Raphael Schäfer",NA,"GER","GK","31-322",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Jan Schlaudraff",NA,"GER","FW,MF","27-153",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Mohammed Abdellaoue",NA,"NOR","FW","25-056",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Mikael Forssell",NA,"FIN","FW","29-278",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Konstantin Rausch",NA,"RUS","DF,MF","20-278",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Constant Djakpa",NA,"CIV","DF","24-062",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Sérgio Pinto",NA,"POR","FW,MF","30-063",90,1,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Nürnberg","4-2-3-1",3,NA,"Steve Cherundolo (OG) · 28&rsquor; Andreas Wolf · 31&rsquor; Julian Schieber · 82&rsquor;","1","0","Hannover 96","4-4-2",1,NA,"Sérgio Pinto (P) · 75&rsquor;","4","0","https://fbref.com/en/matches/1448ad07/Nurnberg-Hannover-96-December-18-2010-Bundesliga","Hannover 96","Away","Manuel Schmiedebach",NA,"GER","MF","22-013",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
