"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Julian Schieber",NA,"GER","FW","21-336",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Róbert Mak",NA,"SVK","FW,MF","19-313",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Markus Mendler",NA,"GER","FW,MF","18-008",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Jens Hegeler",NA,"GER","DF,MF","22-358",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Mehmet Ekici",NA,"TUR","MF","20-296",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Timmy Simons",NA,"BEL","DF,MF","34-035",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Almog Cohen",NA,"ISR","MF","22-136",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","27-014",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","27-325",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Andreas Wolf",NA,"GER","DF","28-217",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Philipp Wollscheid",NA,"GER","DF","21-315",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Juri Judt",NA,"GER","DF,MF","24-175",77,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Rubin Okotie",NA,"AUT","FW","23-223",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Nürnberg","Home","Raphael Schäfer",NA,"GER","GK","31-350",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Mike Hanke",NA,"GER","FW","27-071",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Michael Bradley",NA,"USA","MF","23-168",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Igor de Camargo",NA,"BEL","FW,MF","27-248",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Mohammadou Idrissou",NA,"CMR","FW","30-313",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Roman Neustädter",NA,"RUS","DF,MF","22-331",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Thorben Marx",NA,"GER","MF","29-228",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Tony Jantschke",NA,"GER","DF,MF","20-283",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Marco Reus",NA,"GER","FW,MF","21-229",89,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Anderson Bamba",NA,"BRA","DF","23-005",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Filip Daems",NA,"BEL","DF","32-076",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Martin Stranzl",NA,"AUT","DF,MF","30-213",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Håvard Nordtveit",NA,"NOR","DF,MF","20-208",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Tobias Levels",NA,"GER","DF","24-054",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Nürnberg","4-2-3-1",0,NA,"","1","0","Mönchengladbach","4-4-1-1",1,NA,"Roman Neustädter · 8&rsquor;","3","0","https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga","Mönchengladbach","Away","Christofer Heimeroth",NA,"GER","GK","29-167",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
