"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Angelos Charisteas",NA,"GRE","FW","29-362",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Albert Bunjaku",NA,"KVX","FW","26-069",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","26-036",73,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Marcel Risse",NA,"GER","DF,FW","20-051",17,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Marek Mintál",NA,"SVK","FW,MF","32-157",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Mickaël Tavares",NA,"SEN","MF","27-104",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Andreas Ottl",NA,"GER","MF","24-342",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","26-347",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Breno Borges",NA,"BRA","DF","20-116",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Andreas Wolf",NA,"GER","DF","27-239",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Dominic Maroh",NA,"SVN","DF","22-339",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Dennis Diekmeier",NA,"GER","DF,MF","20-109",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Raphael Schäfer",NA,"GER","GK","31-007",89,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Nürnberg","Home","Alexander Stephan",NA,"GER","GK","23-144",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Pavel Pogrebnyak",NA,"RUS","FW","26-090",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Ciprian Marica",NA,"ROU","FW","24-127",50,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Zdravko Kuzmanović",NA,"SRB","MF","22-137",40,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Alexander Hleb",NA,"BLR","MF","28-281",60,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Roberto Hilbert",NA,"GER","DF,MF","25-113",30,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Sami Khedira",NA,"GER","MF","22-308",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Christian Träsch",NA,"GER","DF,MF","22-158",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Timo Gebhart",NA,"GER","MF","20-300",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Nürnberg","4-2-3-1",1,NA,"Albert Bunjaku · 60&rsquor;","2","0","Stuttgart","4-4-2",2,NA,"Timo Gebhart · 22&rsquor; Roberto Hilbert · 87&rsquor;","2","0","https://fbref.com/en/matches/2c7097e9/Nurnberg-Stuttgart-February-6-2010-Bundesliga","Stuttgart","Away","Cristian Molinaro",NA,"ITA","DF,MF","26-191",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
