"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Mehmet Ekici",NA,"TUR","MF","20-359",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Per Nilsson",NA,"SWE","DF","28-185",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","27-077",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","İlkay Gündoğan",NA,"GER","MF","20-146",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Almog Cohen",NA,"ISR","MF","22-199",64,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Rubin Okotie",NA,"AUT","FW","23-286",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Jens Hegeler",NA,"GER","DF,MF","23-056",53,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Róbert Mak",NA,"SVK","FW,MF","20-011",37,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Timmy Simons",NA,"BEL","DF,MF","34-098",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 27)","Nürnberg","4-1-2-1-2",1,NA,"İlkay Gündoğan · 30&rsquor; Timothy Chandler · 72&rsquor;","6","1","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner (P) · 27&rsquor; Claudio Pizarro · 50&rsquor; Sandro Wagner (P) · 89&rsquor;","3","0","https://fbref.com/en/matches/9a9b1033/Nurnberg-Werder-Bremen-March-19-2011-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","28-023",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
