"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Albert Bunjaku",NA,"KVX","FW","25-336",54,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Dario Vidošić",NA,"AUS","FW,MF","22-206",36,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Christian Eigler",NA,"GER","FW","25-303",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Marek Mintál",NA,"SVK","FW,MF","32-059",75,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Thomas Broich",NA,"GER","MF","28-275",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Mike Frantz",NA,"GER","FW,MF","23-017",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Peer Kluge",NA,"GER","MF","28-343",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Håvard Nordtveit",NA,"NOR","DF,MF","19-132",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Javier Pinola",NA,"ARG","DF","26-249",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Nürnberg","4-1-2-1-2",2,NA,"Christian Eigler · 3&rsquor; Albert Bunjaku · 33&rsquor;","5","0","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 72&rsquor; Aaron Hunt · 90&rsquor;","2","0","https://fbref.com/en/matches/b0a61212/Nurnberg-Werder-Bremen-October-31-2009-Bundesliga","Nürnberg","Home","Dominic Maroh",NA,"SVN","DF","22-241",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
