"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Christopher Nkunku",18,"FRA","FW,AM","24-034",90,0,0,0,0,3,1,0,0,43,1,0,0,0.4,0.4,0.1,5,0,23,29,79.3,3,28,2,8,5
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","André Silva",33,"POR","FW","26-042",90,0,0,0,0,4,2,0,0,43,2,0,0,0.5,0.5,0.1,3,0,27,34,79.4,4,16,2,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Dominik Szoboszlai",17,"HUN","CM,AM","21-054",90,0,0,0,0,2,0,0,0,92,1,0,3,0.1,0.1,0.3,3,0,62,80,77.5,9,42,2,3,1
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Kevin Kampl",44,"SVN","CM","31-070",64,0,0,0,0,0,0,0,0,75,3,1,1,0,0,0,1,0,65,68,95.6,10,35,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Amadou Haidara",8,"MLI","CM,DM","23-321",26,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,2,0,21,30,70,5,22,1,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Emil Forsberg",10,"SWE","CM","30-056",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Tyler Adams",14,"USA","CM,DM","22-307",84,0,0,0,0,0,0,0,0,84,3,0,0,0,0,0.1,3,0,68,77,88.3,6,41,2,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Angeliño",3,"ESP","WB,LB","24-348",90,0,0,0,0,1,0,0,0,107,0,0,0,0,0,0.1,5,0,77,102,75.5,4,50,2,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Benjamin Henrichs",39,"GER","WB,RB","24-298",90,0,0,0,0,3,0,0,0,85,2,2,1,0.2,0.2,0.3,1,0,62,73,84.9,4,39,1,2,1
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Joško Gvardiol",32,"CRO","CB","19-329",90,0,0,0,0,1,1,0,0,128,6,1,1,0.1,0.1,0,4,0,105,118,89,16,67,3,2,2
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Willi Orban",4,"HUN","CB","29-045",86,0,0,0,0,0,0,0,0,100,0,2,0,0,0,0,1,0,86,94,91.5,3,62,2,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Brian Brobbey",21,"NED","FW","19-320",4,0,0,0,0,2,0,0,0,5,0,0,0,0.3,0.3,0,2,0,3,3,100,0,3,1,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Nordi Mukiele",22,"FRA","CB","24-047",64,0,0,0,0,1,0,0,0,95,3,1,0,0,0,0,0,0,70,84,83.3,4,59,3,2,2
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Mohamed Simakan",2,"FRA","CB","21-229",26,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.2,3,0,33,35,94.3,7,20,1,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","RB Leipzig","Home","Péter Gulácsi",1,"HUN","GK","31-226",90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,28,89.3,1,19,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","Arminia","Away","Janni Serra",23,"GER","FW","23-280",57,1,0,0,0,1,1,0,0,23,0,0,1,0.3,0.3,0,2,0,7,16,43.8,2,10,0,1,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","Arminia","Away","Fabian Klos",9,"GER","FW","34-016",12,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,2,100,0,2,0,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","Arminia","Away","Florian Krüger",18,"GER","LW,LM","22-308",89,0,1,0,0,1,1,0,0,26,0,0,0,0,0,0.6,2,1,16,21,76.2,2,12,2,0,0
"Fußball-Bundesliga","2021-12-18","Fußball-Bundesliga (Matchweek 17)","RB Leipzig","3-5-2",0,1.6,"","0","0","Arminia","4-2-3-1",2,0.8,"Janni Serra · 57&rsquor; Fabian Klos · 70&rsquor; Masaya Okugawa · 75&rsquor;","2","1","https://fbref.com/en/matches/5be07d30/RB-Leipzig-Arminia-December-18-2021-Bundesliga","Arminia","Away","Nathan de Medina",15,"BEL","LM","24-071",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
