"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","André Silva",33,"POR","FW","26-022",90,1,0,0,0,4,2,0,0,43,0,0,2,0.2,0.2,0.1,2,0,23,28,82.1,1,23,1,2,0
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Brian Brobbey",21,"NED","FW","19-300",42,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0,1,0,7,8,87.5,0,8,0,0,0
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Dominik Szoboszlai",17,"HUN","AM,CM","21-034",48,0,0,0,1,1,0,0,0,60,0,0,1,0.8,0,0,4,0,43,53,81.1,6,34,5,2,0
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Christopher Nkunku",18,"FRA","FW,AM","24-014",90,0,1,0,0,1,0,0,0,62,2,1,0,0.1,0.1,0.2,7,1,43,50,86,4,37,4,7,5
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Konrad Laimer",27,"AUT","LM","24-185",72,0,0,0,0,1,1,0,0,52,4,0,0,0.1,0.1,0.1,2,0,37,45,82.2,4,34,0,1,1
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Benjamin Henrichs",39,"GER","RB","24-278",18,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,7,8,87.5,0,8,1,0,0
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Kevin Kampl",44,"SVN","CM","31-050",72,0,0,0,0,0,0,0,0,68,1,2,0,0,0,0,0,0,56,62,90.3,4,44,2,1,1
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Tyler Adams",14,"USA","CM","22-287",18,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,22,25,88,2,13,1,1,0
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Emil Forsberg",10,"SWE","RM,CM","30-036",84,0,0,0,0,2,0,1,0,46,2,0,2,0.1,0.1,0,2,0,28,36,77.8,5,24,1,3,2
"Fußball-Bundesliga","2021-11-28","Fußball-Bundesliga (Matchweek 13)","RB Leipzig","4-3-1-2",1,1.5,"André Silva · 62&rsquor;","1","0","Bayer Leverkusen","4-2-3-1",3,1.4,"Florian Wirtz · 21&rsquor; Moussa Diaby · 34&rsquor; Jeremie Frimpong · 64&rsquor;","3","0","https://fbref.com/en/matches/f65c6530/RB-Leipzig-Bayer-Leverkusen-November-28-2021-Bundesliga","RB Leipzig","Home","Amadou Haidara",8,"MLI","CM","23-301",6,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,5,7,71.4,0,2,0,0,0
