"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Christopher Nkunku",18,"FRA","FW","24-272",90,1,0,0,0,3,2,0,0,38,0,1,1,0.7,0.7,0.1,5,0,25,28,89.3,4,24,2,4,4
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Timo Werner",11,"GER","FW","26-160",66,1,0,0,0,1,1,0,0,30,0,0,2,0,0,0,0,0,12,20,60,0,12,0,2,0
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","André Silva",19,"POR","FW","26-280",24,0,0,0,0,1,0,0,0,13,0,1,0,0.1,0.1,0,0,0,8,10,80,0,10,0,2,1
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","David Raum",22,"GER","LW","24-113",90,0,0,0,0,0,0,0,0,66,1,0,2,0,0,0,2,0,44,55,80,5,21,3,3,0
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Hugo Novoa",38,"ESP","RW","19-224",45,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,25,35,71.4,0,13,1,4,2
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Kevin Kampl",44,"SVN","CM","31-308",45,0,0,0,0,0,0,0,0,28,3,0,1,0,0,0,0,0,25,26,96.2,3,11,0,1,1
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Dani Olmo",7,"ESP","CM","24-098",86,0,1,0,0,0,0,0,0,54,0,0,1,0,0,0.7,4,2,28,42,66.7,4,21,3,5,2
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Amadou Haidara",8,"MLI","CM","24-194",4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,100,1,1,0,0,0
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Dominik Szoboszlai",17,"HUN","CM","21-292",44,0,0,0,0,1,1,0,1,17,0,0,1,0,0,0,0,0,9,11,81.8,2,6,0,0,0
"Fußball-Bundesliga","2022-08-13","Fußball-Bundesliga (Matchweek 2)","RB Leipzig","3-1-4-2",2,1,"Timo Werner · 36&rsquor; Dominik Szoboszlai · 45+1&rsquor; Christopher Nkunku · 56&rsquor;","1","1","Köln","4-2-3-1",2,1.5,"Florian Dietz · 40&rsquor; Joško Gvardiol (OG) · 72&rsquor;","4","0","https://fbref.com/en/matches/9db4ecbc/RB-Leipzig-Koln-August-13-2022-Bundesliga","RB Leipzig","Home","Benjamin Henrichs",39,"GER","RW,DM","25-171",90,0,1,0,0,0,0,1,0,68,3,0,4,0,0,0,1,1,39,56,69.6,6,20,1,1,0
