"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Christopher Nkunku",18,"FRA","FW","24-286",90,2,0,1,1,3,1,0,0,34,0,0,0,1.9,1.1,0.1,3,0,17,24,70.8,1,29,3,2,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","André Silva",19,"POR","FW","26-294",63,0,0,0,0,3,2,0,0,22,1,0,0,0.3,0.3,0.3,2,0,7,13,53.8,2,13,4,1,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Timo Werner",11,"GER","FW","26-174",27,0,0,0,0,2,0,1,0,15,1,0,0,0.5,0.5,0,1,1,3,8,37.5,0,11,4,3,1
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Dani Olmo",7,"ESP","AM","24-112",90,0,0,0,0,1,0,0,0,57,0,0,2,0.2,0.2,0.5,6,1,33,45,73.3,7,32,1,7,5
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Kevin Kampl",44,"SVN","CM","31-322",63,0,0,0,0,0,0,0,0,34,1,1,0,0,0,0.1,2,1,25,31,80.6,4,25,4,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Amadou Haidara",8,"MLI","CM,WB","24-208",27,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,11,13,84.6,2,5,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Konrad Laimer",27,"AUT","CM","25-092",90,0,0,0,0,2,1,1,0,39,3,0,1,0.1,0.1,0,5,0,21,30,70,4,20,4,3,3
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","David Raum",22,"GER","WB","24-127",90,0,0,0,0,0,0,0,0,63,1,0,1,0,0,0,3,0,39,55,70.9,4,36,2,1,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Benjamin Henrichs",39,"GER","WB","25-185",41,0,0,0,0,1,0,1,0,30,0,0,1,0,0,0,1,0,13,26,50,3,16,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","RB Leipzig","3-4-1-2",2,3.5,"Christopher Nkunku (P) · 5&rsquor; Christopher Nkunku · 90&rsquor;","3","0","Wolfsburg","4-2-3-1",0,0.5,"","3","0","https://fbref.com/en/matches/945d99b8/RB-Leipzig-Wolfsburg-August-27-2022-Bundesliga","RB Leipzig","Home","Joško Gvardiol",32,"CRO","CB","20-216",49,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,0,0,19,24,79.2,1,17,0,1,1
