"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","24-317",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Nelson Valdez",NA,"PAR","FW","25-302",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","27-289",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Tamás Hajnal",NA,"HUN","MF","28-195",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Dimitar Rangelov",NA,"BUL","FW,MF","26-229",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","21-021",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Tinga",NA,"BRA","MF","31-256",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Mats Hummels",NA,"GER","DF","20-284",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-069",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","21-247",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Felipe Santana",NA,"BRA","DF","23-193",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Neven Subotić",NA,"SRB","DF","20-290",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Patrick Owomoyela",NA,"GER","DF,MF","29-325",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Dortmund","Home","Roman Weidenfeller",NA,"GER","GK","29-051",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Halil Altıntop",NA,"TUR","FW,MF","26-292",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Gerald Asamoah",NA,"GER","FW,MF","30-358",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Jefferson Farfán",NA,"PER","FW,MF","24-335",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Levan Kenia",NA,"GEO","MF","18-343",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Vicente Sánchez",NA,"URU","FW","29-293",33,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Lukas Schmitz",NA,"GER","DF,MF","20-348",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Rafinha",NA,"BRA","DF","24-019",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Vasileios Pliatsikas",NA,"GRE","DF,MF","21-165",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-1-2-1-2",0,NA,"","0","0","Schalke 04","4-1-2-1-2",1,NA,"Jefferson Farfán · 31&rsquor;","1","0","https://fbref.com/en/matches/8a55ffba/Revierderby-Dortmund-Schalke-04-September-26-2009-Bundesliga","Schalke 04","Away","Christoph Moritz",NA,"GER","MF","19-242",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
