"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Kevin Kurányi",NA,"GER","FW","27-361",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Edu",NA,"BRA","FW","28-088",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Gerald Asamoah",NA,"GER","FW,MF","31-146",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Vicente Sánchez",NA,"URU","FW","30-081",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-030",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Alexander Baumjohann",NA,"GER","MF","23-034",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","21-353",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Peer Kluge",NA,"GER","MF","29-096",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","25-123",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","21-136",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Marcelo Bordon",NA,"BRA","DF","34-050",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Benedikt Höwedes",NA,"GER","DF","21-362",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Rafinha",NA,"BRA","DF","24-172",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Schalke 04","Home","Manuel Neuer",NA,"GER","GK","23-336",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Nelson Valdez",NA,"PAR","FW","26-090",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Kevin Großkreutz",NA,"GER","DF,FW","21-222",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Jakub Błaszczykowski",NA,"POL","MF","24-074",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Mohamed Zidan",NA,"EGY","FW","28-077",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Tamás Hajnal",NA,"HUN","MF","28-348",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Nuri Şahin",NA,"TUR","MF","21-174",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Sven Bender",NA,"GER","DF,MF","20-305",85,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Sebastian Kehl",NA,"GER","DF,MF","30-013",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Marcel Schmelzer",NA,"GER","DF","22-035",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Mats Hummels",NA,"GER","DF","21-072",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Felipe Santana",NA,"BRA","DF","23-346",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Neven Subotić",NA,"SRB","DF","21-078",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Patrick Owomoyela",NA,"GER","DF,MF","30-113",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Schalke 04","4-4-2",2,NA,"Benedikt Höwedes · 66&rsquor; Ivan Rakitić · 83&rsquor;","2","0","Dortmund","4-2-3-1",1,NA,"Nuri Şahin (P) · 47&rsquor;","4","0","https://fbref.com/en/matches/2eef7e7d/Revierderby-Schalke-04-Dortmund-February-26-2010-Bundesliga","Dortmund","Away","Roman Weidenfeller",NA,"GER","GK","29-204",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
