"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Simon Terodde",9,"GER","FW","34-255",90,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0.4,3,0,12,19,63.2,0,11,1,2,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Marius Bülter",11,"GER","LW","29-228",65,0,0,0,0,2,1,0,0,24,0,0,0,0.2,0.2,0,2,0,14,20,70,1,14,3,1,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Sidi Sané",44,"GER","LW","19-205",25,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,7,7,100,0,5,0,1,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Kenan Karaman",19,"TUR","RW","28-252",58,0,0,0,0,2,0,0,0,22,0,1,1,0.1,0.1,0,0,0,10,15,66.7,2,17,1,1,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Jordan Larsson",7,"SWE","RW","25-145",32,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,7,42.9,0,5,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Dominick Drexler",24,"GER","AM","32-170",74,0,0,0,0,1,1,0,0,28,0,0,0,0.4,0.4,0,1,0,15,21,71.4,2,11,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Danny Latza",8,"GER","AM","32-340",16,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,6,8,75,0,3,1,2,1
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Tom Krauß",6,"GER","DM","21-143",90,0,0,0,0,0,0,0,0,33,8,0,2,0,0,0.2,1,0,11,18,61.1,2,11,0,1,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Alex Král",30,"CZE","DM","24-177",90,0,0,0,0,1,0,0,0,32,0,0,2,0,0,0.1,3,0,12,22,54.5,1,6,0,0,0
"Fußball-Bundesliga","2022-11-12","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",0,0.8,"","0","0","Bayern Munich","4-2-3-1",2,1.9,"Serge Gnabry · 38&rsquor; Eric Maxim Choupo-Moting · 52&rsquor;","0","0","https://fbref.com/en/matches/90b95645/Schalke-04-Bayern-Munich-November-12-2022-Bundesliga","Schalke 04","Home","Tobias Mohr",29,"GER","LB","27-080",65,0,0,0,0,1,0,0,0,39,1,1,1,0,0,0.1,2,0,18,36,50,0,8,0,0,0
