"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Mario Gavranović",NA,"SUI","FW","21-108",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Angelos Charisteas",NA,"GRE","FW","31-031",8,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Raúl",NA,"ESP","FW","33-258",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","José Manuel Jurado",NA,"ESP","MF","24-256",74,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Julian Draxler",NA,"GER","FW,MF","17-173",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Anthony Annan",NA,"GHA","MF","24-234",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Peer Kluge",NA,"GER","MF","30-110",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Joël Matip",NA,"CMR","DF,MF","19-216",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","26-137",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-4-1-1",2,NA,"José Manuel Jurado (P) · 45&rsquor; Angelos Charisteas · 84&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",1,NA,"Georgios Tzavellas · 70&rsquor;","3","0","https://fbref.com/en/matches/6c07cd38/Schalke-04-Eintracht-Frankfurt-March-12-2011-Bundesliga","Schalke 04","Home","Sergio Escudero",NA,"ESP","DF,MF","21-191",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
