"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Simon Terodde",9,"GER","FW","35-079",76,1,0,0,0,1,1,1,0,14,0,0,0,0.1,0.1,0.1,2,0,7,12,58.3,0,5,0,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Sebastian Polter",40,"GER","FW","32-049",14,1,0,0,0,2,1,0,0,7,0,0,0,0.5,0.5,0,1,0,2,3,66.7,1,4,1,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Kenan Karaman",19,"TUR","LW","29-076",90,0,0,0,0,1,1,0,0,35,0,0,0,0.1,0.1,0,2,1,9,20,45,0,25,4,13,4
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Tim Skarke",20,"GER","RW","26-255",54,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,1,0,17,20,85,2,11,1,1,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Dominick Drexler",24,"GER","RW","32-359",36,0,0,0,0,0,0,0,0,25,3,1,1,0,0,0,1,0,13,20,65,2,12,2,1,1
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Rodrigo Zalazar",10,"URU","AM","23-281",76,0,1,0,0,1,0,0,0,42,2,0,1,0.1,0.1,0.1,3,1,18,33,54.5,1,16,1,8,4
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Tobias Mohr",29,"GER","AM","27-269",14,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0.5,3,1,7,14,50,1,6,0,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Tom Krauß",6,"GER","DM","21-332",64,0,0,0,0,1,0,1,0,28,1,0,2,0,0,0,1,0,7,17,41.2,1,8,1,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Danny Latza",8,"GER","DM","33-164",26,0,0,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0,0,0,11,13,84.6,0,11,0,0,0
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Alex Král",30,"CZE","DM","25-001",90,0,0,0,0,2,0,0,0,32,0,1,0,0.1,0.1,0.1,2,0,18,24,75,4,18,0,5,3
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Henning Matriciani",41,"GER","LB","23-067",90,0,0,0,0,0,0,0,0,62,5,3,3,0,0,0,4,1,30,47,63.8,6,29,3,4,2
"Fußball-Bundesliga","2023-05-20","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-2-3-1",2,1,"Simon Terodde · 1&rsquor; Sebastian Polter · 85&rsquor;","3","0","Eintracht Frankfurt","3-4-3",2,1.6,"Daichi Kamada · 21&rsquor; Tuta · 59&rsquor;","4","0","https://fbref.com/en/matches/076b76d0/Schalke-04-Eintracht-Frankfurt-May-20-2023-Bundesliga","Schalke 04","Home","Moritz Jenz",25,"GER","CB","24-020",90,0,0,0,0,2,1,1,0,59,1,1,1,0.1,0.1,0,0,0,30,46,65.2,2,29,0,0,0
