"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Sebastian Polter",40,"GER","FW","31-212",55,0,0,0,0,0,0,1,0,16,1,0,0,0,0,0,1,0,7,13,53.8,0,8,0,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Simon Terodde",9,"GER","FW","34-242",35,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.2,2,0,4,8,50,0,6,0,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Marius Bülter",11,"GER","LW,RW","29-215",90,0,0,0,0,3,1,0,0,36,1,2,2,0.1,0.1,0.1,3,0,15,25,60,0,20,1,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Kenan Karaman",19,"TUR","RW","28-239",55,0,0,0,0,1,1,0,0,12,0,0,0,0.1,0.1,0,1,0,3,6,50,0,9,2,1,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Tobias Mohr",29,"GER","LW","27-067",35,0,0,0,0,2,0,0,0,22,0,0,0,0.1,0.1,0,1,0,10,18,55.6,0,15,4,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Florent Mollet",20,"FRA","AM","30-345",90,0,0,0,0,2,0,0,0,36,0,1,1,0.1,0.1,0,1,0,15,26,57.7,0,14,1,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Alex Král",30,"CZE","DM","24-164",90,0,0,0,0,1,0,0,0,39,2,1,1,0,0,0.1,1,0,18,32,56.3,1,18,2,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Tom Krauß",6,"GER","DM","21-130",80,0,0,0,0,1,1,1,0,22,1,0,2,0.1,0.1,0,1,0,16,17,94.1,1,12,1,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Danny Latza",8,"GER","DM","32-327",10,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,2,100,1,3,0,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Thomas Ouwejan",2,"NED","LB","26-030",33,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,1,0,2,5,40,1,3,1,0,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Kerim Calhanoglu",42,"GER","LB","20-065",57,0,0,0,0,1,0,0,0,51,2,0,1,0,0,0.2,3,0,28,38,73.7,3,16,3,2,0
"Fußball-Bundesliga","2022-10-30","Fußball-Bundesliga (Matchweek 12)","Schalke 04","4-2-3-1",0,0.6,"","3","0","Freiburg","4-2-3-1",2,2.3,"Vincenzo Grifo · 45+1&rsquor; Vincenzo Grifo (P) · 61&rsquor;","2","0","https://fbref.com/en/matches/408042b1/Schalke-04-Freiburg-October-30-2022-Bundesliga","Schalke 04","Home","Henning Matriciani",41,"GER","CB","22-230",90,0,0,0,0,0,0,0,0,46,2,1,1,0,0,0,0,0,33,40,82.5,3,26,1,0,0
