"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Raúl",NA,"ESP","FW","33-202",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Klaas-Jan Huntelaar",NA,"NED","FW","27-156",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Edu",NA,"BRA","FW","29-046",61,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","José Manuel Jurado",NA,"ESP","MF","24-200",29,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","22-311",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Julian Draxler",NA,"GER","FW,MF","17-117",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-353",52,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Christian Pander",NA,"GER","DF","27-140",38,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","26-081",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Schalke 04","4-4-2",0,NA,"","3","0","Hamburger SV","4-4-2",1,NA,"Ruud van Nistelrooy · 53&rsquor;","3","0","https://fbref.com/en/matches/f7ee1ba1/Schalke-04-Hamburger-SV-January-15-2011-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","22-094",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
