"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Kevin Kurányi",NA,"GER","FW","27-279",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","21-054",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","25-041",64,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","19-313",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","21-271",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Joël Matip",NA,"CMR","DF,MF","18-120",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Halil Altıntop",NA,"TUR","FW,MF","26-363",36,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Vicente Sánchez",NA,"URU","FW","29-364",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Benedikt Höwedes",NA,"GER","DF","21-280",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Heiko Westermann",NA,"GER","DF,MF","26-114",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Marcelo Bordon",NA,"BRA","DF","33-333",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Carlos Zambrano",NA,"PER","DF,MF","20-149",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Rafinha",NA,"BRA","DF","24-090",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Schalke 04","Home","Manuel Neuer",NA,"GER","GK","23-254",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Schalke 04","4-2-3-1",2,NA,"Kevin Kurányi · 59&rsquor; Rafinha (P) · 90&rsquor;","1","0","Hertha BSC","4-5-1",0,NA,"Christoph Janker · 86&rsquor;","5","1","https://fbref.com/en/matches/645f3306/Schalke-04-Hertha-BSC-December-6-2009-Bundesliga","Hertha BSC","Away","Artur Wichniarek",NA,"POL","FW","32-281",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
