"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Kevin Kurányi",NA,"GER","FW","27-349",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Vicente Sánchez",NA,"URU","FW","30-069",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Alexander Baumjohann",NA,"GER","MF","23-022",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","25-111",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","21-341",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Joël Matip",NA,"CMR","DF,MF","18-190",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-018",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Jan Morávek",NA,"CZE","FW,MF","20-105",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","21-124",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Schalke 04","4-2-3-1",2,NA,"Joël Matip · 45&rsquor; Jefferson Farfán · 81&rsquor;","2","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/c650a55a/Schalke-04-Koln-February-14-2010-Bundesliga","Schalke 04","Home","Marcelo Bordon",NA,"BRA","DF","34-038",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
