"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Kevin Kurányi",NA,"GER","FW","28-010",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","25-137",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Edu",NA,"BRA","FW","28-102",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","22-002",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","21-150",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Peer Kluge",NA,"GER","MF","29-110",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-044",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Joël Matip",NA,"CMR","DF,MF","18-216",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Alexander Baumjohann",NA,"GER","MF","23-048",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 26)","Schalke 04","4-1-2-1-2",2,NA,"Edu · 46&rsquor; Kevin Kurányi · 55&rsquor;","2","0","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 50&rsquor;","2","0","https://fbref.com/en/matches/f7a92150/Schalke-04-Stuttgart-March-12-2010-Bundesliga","Schalke 04","Home","Heiko Westermann",NA,"GER","DF,MF","26-210",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
