"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Simon Terodde",9,"GER","FW","34-178",70,0,0,0,0,3,2,0,0,23,0,1,0,0.4,0.4,0,2,0,11,14,78.6,1,7,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Sebastian Polter",40,"GER","FW","31-148",20,0,0,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0,1,0,6,8,75,1,4,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Dominick Drexler",24,"GER","LW","32-093",60,0,0,0,0,1,0,0,0,23,2,0,1,0.1,0.1,0,3,0,11,16,68.8,0,9,0,1,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Jordan Larsson",7,"SWE","LW","25-068",30,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,6,7,85.7,0,2,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Marius Bülter",11,"GER","RW","29-151",90,1,0,1,1,0,0,0,0,37,0,0,1,0.8,0,0,3,0,19,26,73.1,3,14,0,2,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Rodrigo Zalazar",10,"URU","AM","23-015",70,0,0,0,0,2,1,0,0,28,0,0,1,0.1,0.1,0.1,2,0,15,21,71.4,2,12,0,1,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Florent Mollet",20,"FRA","AM","30-281",20,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,1,0,4,6,66.7,0,4,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Alex Král",30,"CZE","DM","24-100",60,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,2,1,20,33,60.6,0,15,2,3,1
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Danny Latza",8,"GER","DM","32-263",30,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0,0,0,16,20,80,5,7,1,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Tom Krauß",6,"GER","DM","21-066",60,0,0,0,0,0,0,0,0,28,0,0,4,0,0,0,1,0,15,22,68.2,2,4,0,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Florian Flick",17,"GER","DM","22-118",30,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,8,11,72.7,0,4,1,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Thomas Ouwejan",2,"NED","LB","25-331",90,0,0,0,0,2,0,0,0,89,0,1,2,0,0,0.4,5,0,64,85,75.3,6,42,5,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Malick Thiaw",33,"GER","CB","21-019",90,0,0,0,0,1,1,1,0,98,1,9,0,0.2,0.2,0,0,0,79,85,92.9,1,52,1,0,0
"Fußball-Bundesliga","2022-08-27","Fußball-Bundesliga (Matchweek 4)","Schalke 04","4-2-3-1",1,1.9,"Marius Bülter (P) · 31&rsquor;","1","0","Union Berlin","3-5-2",6,1.1,"Morten Thorsby · 6&rsquor; Sheraldo Becker · 36&rsquor; Janik Haberer · 45+3&rsquor; Sheraldo Becker · 46&rsquor; Sven Michel · 87&rsquor; Sven Michel · 90&rsquor;","0","0","https://fbref.com/en/matches/97ce3356/Schalke-04-Union-Berlin-August-27-2022-Bundesliga","Schalke 04","Home","Maya Yoshida",4,"JPN","CB","34-003",90,0,0,0,0,2,0,0,0,99,1,1,0,0.1,0.1,0,2,0,73,88,83,5,51,0,2,1
