"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Kevin Kurányi",NA,"GER","FW","28-060",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Hao Junmin",NA,"CHN","FW,MF","23-038",58,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Mario Gavranović",NA,"SUI","FW","20-158",32,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","25-187",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","22-052",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Heiko Westermann",NA,"GER","DF,MF","26-260",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Peer Kluge",NA,"GER","MF","29-160",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-094",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","21-200",58,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Edu",NA,"BRA","FW","28-152",32,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Marcelo Bordon",NA,"BRA","DF","34-114",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Benedikt Höwedes",NA,"GER","DF","22-061",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Rafinha",NA,"BRA","DF","24-236",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Schalke 04","Home","Manuel Neuer",NA,"GER","GK","24-035",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Werder Bremen","Away","Hugo Almeida",NA,"POR","FW","25-343",82,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Werder Bremen","Away","Daniel Jensen",NA,"DEN","MF","30-310",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Werder Bremen","Away","Claudio Pizarro",NA,"PER","FW","31-210",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 33)","Schalke 04","4-3-3",0,NA,"","1","0","Werder Bremen","4-1-2-1-2",2,NA,"Mesut Özil · 55&rsquor; Hugo Almeida · 64&rsquor;","2","0","https://fbref.com/en/matches/6eca6c3f/Schalke-04-Werder-Bremen-May-1-2010-Bundesliga","Werder Bremen","Away","Mesut Özil",NA,"GER","MF","21-198",87,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
