"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Klaas-Jan Huntelaar",NA,"NED","FW","27-100",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Raúl",NA,"ESP","FW","33-146",78,3,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","José Manuel Jurado",NA,"ESP","MF","24-144",12,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Edu",NA,"BRA","FW","28-355",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Peer Kluge",NA,"GER","MF","29-363",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Ivan Rakitić",NA,"CRO","MF","22-255",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Joël Matip",NA,"CMR","DF,MF","19-104",51,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Christoph Moritz",NA,"GER","MF","20-297",39,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Jefferson Farfán",NA,"PER","FW,MF","26-025",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Schalke 04","4-4-2",4,NA,"Christoph Metzelder · 22&rsquor; Raúl · 45&rsquor; Raúl · 56&rsquor; Raúl · 71&rsquor;","1","0","Werder Bremen","4-1-2-1-2",0,NA,"Philipp Bargfrede · 85&rsquor;","4","1","https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga","Schalke 04","Home","Lukas Schmitz",NA,"GER","DF,MF","22-038",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
