"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Michael Frey",26,"SUI","FW","28-206",86,0,0,0,0,1,0,0,0,40,1,0,0,0,0,0.1,2,0,15,32,46.9,4,18,1,3,1
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Simon Terodde",9,"GER","FW","34-345",4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Tim Skarke",20,"GER","LW","26-156",45,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,5,11,45.5,0,4,0,1,0
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Marius Bülter",11,"GER","LW","29-318",45,0,0,0,0,3,1,0,0,17,0,0,1,0.2,0.2,0.2,5,0,7,11,63.6,0,9,1,1,1
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Soichiro Kozuki",38,"JPN","RW","22-050",72,0,0,0,0,2,2,0,0,30,1,0,2,0.1,0.1,0,1,0,6,11,54.5,1,15,2,3,0
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Dominick Drexler",24,"GER","RW","32-260",18,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,60,0,3,0,1,1
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Rodrigo Zalazar",10,"URU","AM","23-182",90,0,0,0,0,3,0,1,0,45,0,0,1,0.3,0.3,0.3,6,0,16,32,50,3,18,1,4,3
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Tom Krauß",6,"GER","DM","21-233",90,0,0,0,0,2,1,0,0,31,0,2,0,0.1,0.1,0,3,0,18,26,69.2,1,11,0,0,0
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Alex Král",30,"CZE","DM","24-267",90,0,0,0,0,6,0,0,0,46,1,0,2,0.3,0.3,0.1,3,0,14,29,48.3,2,17,1,4,1
"Fußball-Bundesliga","2023-02-10","Fußball-Bundesliga (Matchweek 20)","Schalke 04","4-2-3-1",0,1.3,"","1","0","Wolfsburg","4-2-3-1",0,1.3,"","4","0","https://fbref.com/en/matches/ee7ae28f/Schalke-04-Wolfsburg-February-10-2023-Bundesliga","Schalke 04","Home","Jere Uronen",18,"FIN","LB","28-212",90,0,0,0,0,1,0,0,0,54,1,1,0,0,0,0,2,0,33,47,70.2,2,16,1,2,1
