"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Marius Ebbers",NA,"GER","FW","32-236",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Deniz Naki",NA,"GER","FW","21-050",80,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Max Kruse",NA,"GER","FW,MF","22-162",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Florian Bruns",NA,"GER","MF","31-007",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Fin Bartels",NA,"GER","FW,MF","23-202",27,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Rouwen Hennings",NA,"GER","FW,MF","23-000",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Richard Sukuta-Pasu",NA,"GER","FW","20-065",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Matthias Lehmann",NA,"GER","MF","27-092",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Fabian Boll",NA,"GER","MF","31-073",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","St. Pauli","4-2-3-1",0,NA,"","2","0","Hoffenheim","4-3-3",1,NA,"Isaac Vorsah · 87&rsquor;","0","0","https://fbref.com/en/matches/f914f146/St-Pauli-Hoffenheim-August-28-2010-Bundesliga","St. Pauli","Home","Bastian Oczipka",NA,"GER","DF,FW","21-228",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
