"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Gerald Asamoah",NA,"GER","FW,MF","32-118",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Davidson Eden",NA,"GHA","DF","22-309",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Fin Bartels",NA,"GER","FW,MF","23-356",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Max Kruse",NA,"GER","FW,MF","22-316",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Charles Takyi",NA,"GHA","MF","26-078",77,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Richard Sukuta-Pasu",NA,"GER","FW","20-219",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Matthias Lehmann",NA,"GER","MF","27-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Fabian Boll",NA,"GER","MF","31-227",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Florian Bruns",NA,"GER","MF","31-161",25,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","St. Pauli","4-2-3-1",3,NA,"Charles Takyi · 30&rsquor; Charles Takyi · 36&rsquor; Florian Bruns (P) · 76&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","4","0","https://fbref.com/en/matches/d4a2b06d/St-Pauli-Koln-January-29-2011-Bundesliga","St. Pauli","Home","Bastian Oczipka",NA,"GER","DF,FW","22-017",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
