"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Marius Ebbers",NA,"GER","FW","32-348",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Gerald Asamoah",NA,"GER","FW,MF","32-076",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Rouwen Hennings",NA,"GER","FW,MF","23-112",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Timo Schultz",NA,"GER","MF","33-114",34,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Matthias Lehmann",NA,"GER","MF","27-204",90,2,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Max Kruse",NA,"GER","FW,MF","22-274",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Charles Takyi",NA,"GHA","MF","26-036",34,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Fabian Boll",NA,"GER","MF","31-185",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Florian Bruns",NA,"GER","MF","31-119",34,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","St. Pauli","4-2-2-2",2,NA,"Matthias Lehmann (P) · 33&rsquor; Matthias Lehmann · 63&rsquor;","2","0","Mainz 05","4-1-2-1-2",4,NA,"André Schürrle · 11&rsquor; André Schürrle · 28&rsquor; Ádám Szalai · 41&rsquor; Marco Caligiuri · 83&rsquor;","1","0","https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga","St. Pauli","Home","Bastian Oczipka",NA,"GER","DF,FW","21-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
