"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Omar Marmoush",17,"EGY","FW","",88,1,1,0,0,6,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Philipp Förster",20,"GER","LW","27-043",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.7,1,0,2,2,100,0,1,0,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Sasa Kalajdzic",9,"AUT","FW","24-255",90,0,0,0,0,4,2,0,0,32,0,0,0,0.4,0.4,0.1,4,0,20,26,76.9,2,22,3,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Tiago Tomás",18,"POR","RW","19-276",90,1,0,0,0,3,1,1,0,36,0,0,0,0.2,0.2,0,4,1,17,24,70.8,5,29,3,4,2
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","LM","24-069",90,0,0,0,0,5,2,1,0,65,0,0,0,0.9,0.9,0,4,0,40,56,71.4,8,49,8,5,4
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","25-157",76,0,0,0,0,0,0,0,0,66,2,1,0,0,0,0.1,2,0,53,61,86.9,8,48,1,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Alexis Tibidi",50,"FRA","CM","18-136",14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.1,2,0,7,7,100,1,8,0,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","RM","29-038",63,0,0,0,0,3,1,0,0,33,0,1,0,0.3,0.3,0,1,0,23,28,82.1,5,20,1,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Orel Mangala",23,"BEL","RM","24-001",27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,5,80,0,2,1,0,0
"Fußball-Bundesliga","2022-03-19","Fußball-Bundesliga (Matchweek 27)","Stuttgart","4-3-3",3,2.2,"Waldemar Anton · 44&rsquor; Omar Marmoush · 79&rsquor; Tiago Tomás · 85&rsquor;","2","0","Augsburg","3-4-3",2,1,"André Hahn · 6&rsquor; Michael Gregoritsch · 45&rsquor;","3","0","https://fbref.com/en/matches/65a76db9/Stuttgart-Augsburg-March-19-2022-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","LB","24-057",90,0,1,0,0,1,0,0,0,95,1,1,4,0,0,0.4,10,2,62,84,73.8,4,53,4,2,1
