"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Pavel Pogrebnyak",NA,"RUS","FW","27-041",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Cacau",NA,"GER","FW","29-267",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Arthur Boka",NA,"CIV","DF","27-261",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Zdravko Kuzmanović",NA,"SRB","MF","23-088",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Christian Gentner",NA,"GER","MF","25-127",24,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Christian Träsch",NA,"GER","DF,MF","23-109",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Timo Gebhart",NA,"GER","MF","21-251",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Martin Harnik",NA,"AUT","FW,MF","23-192",45,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Cristian Molinaro",NA,"ITA","DF,MF","27-142",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Stuttgart","4-4-2",3,NA,"Martin Harnik · 50&rsquor; Martin Harnik · 64&rsquor; Christian Gentner · 71&rsquor;","3","0","Bayern Munich","4-2-3-1",5,NA,"Mario Gómez · 31&rsquor; Thomas Müller · 36&rsquor; Franck Ribéry · 43&rsquor; Mario Gómez · 52&rsquor; Mario Gómez · 54&rsquor;","1","0","https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga","Stuttgart","Home","Matthieu Delpierre",NA,"FRA","DF","29-237",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
