"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","FW","24-149",73,0,0,0,0,2,1,0,0,26,3,0,0,0.1,0.1,0,1,0,8,11,72.7,0,17,0,4,2
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Juan Perea",11,"COL","FW","23-009",17,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0,1,0,4,7,57.1,0,6,0,0,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","LW","25-054",73,0,0,0,0,0,0,0,0,26,0,1,1,0,0,0,4,0,12,16,75,1,16,3,7,3
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Tiago Tomás",10,"POR","LW","20-261",17,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0.1,2,1,8,12,66.7,1,14,1,0,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Gil Bastião Dias",31,"POR","RW","26-157",45,0,0,0,0,0,0,0,0,26,2,0,1,0,0,0.1,2,0,15,20,75,3,17,1,0,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Tanguy Coulibaly",7,"FRA","RW","22-014",45,0,0,0,0,3,1,0,0,28,2,0,1,0.1,0.1,0,0,0,8,12,66.7,0,14,0,4,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Genki Haraguchi",17,"JPN","LM","31-299",90,0,0,0,0,0,0,0,0,49,5,3,1,0,0,0,0,0,32,38,84.2,3,35,1,0,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","26-142",84,0,0,0,0,0,0,0,0,52,2,2,1,0,0,0.1,1,0,37,41,90.2,2,31,0,1,1
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Enzo Millot",8,"FRA","CM","20-230",6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,5,60,0,5,0,0,0
"Fußball-Bundesliga","2023-03-04","Fußball-Bundesliga (Matchweek 23)","Stuttgart","4-3-3",1,0.8,"Juan Perea · 88&rsquor;","0","0","Bayern Munich","4-2-3-1",2,2.1,"Matthijs de Ligt · 39&rsquor; Eric Maxim Choupo-Moting · 62&rsquor;","0","0","https://fbref.com/en/matches/74b28bd6/Stuttgart-Bayern-Munich-March-4-2023-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","RM","30-023",90,0,0,0,0,0,0,0,0,52,3,1,0,0,0,0.1,1,0,31,38,81.6,5,31,0,7,2
