"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Julian Schieber",NA,"GER","FW","20-295",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Ciprian Marica",NA,"ROU","FW","24-064",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Cacau",NA,"GER","FW","28-253",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Alexander Hleb",NA,"BLR","MF","28-218",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Thomas Hitzlsperger",NA,"GER","MF","27-244",38,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Stefano Celozzi",NA,"GER","DF","21-033",52,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Zdravko Kuzmanović",NA,"SRB","MF","22-074",26,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Élson",NA,"BRA","MF","28-019",64,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Sebastian Rudy",NA,"GER","MF","19-280",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Stuttgart","4-4-2",1,NA,"Serdar Tasci · 63&rsquor;","2","0","Bochum","4-2-3-1",1,NA,"Diego Klimowicz · 81&rsquor; Christian Fuchs · 89&rsquor;","2","1","https://fbref.com/en/matches/9937bd14/Stuttgart-Bochum-December-5-2009-Bundesliga","Stuttgart","Home","Ludovic Magnin",NA,"SUI","DF","30-229",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
