"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Serhou Guirassy",9,"GUI","FW","27-194",89,2,1,0,0,6,4,0,0,52,0,0,1,1.2,1.2,0.8,9,1,35,41,85.4,3,25,2,4,2
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Jovan Milošević",19,"SRB","FW","18-053",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,50,0,2,0,0,0
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Chris Führich",27,"GER","LW","25-256",77,0,1,0,0,1,0,0,0,41,0,0,2,0,0,0.2,5,1,26,34,76.5,1,23,5,3,3
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Deniz Undav",26,"GER","LW","27-065",13,0,0,0,0,2,1,1,0,10,1,0,0,0.4,0.4,0,1,1,3,5,60,1,7,1,1,0
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","RW","24-351",67,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,10,15,66.7,1,20,3,2,0
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Maximilian Mittelstädt",7,"GER","RW","26-188",23,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,1,0,9,13,69.2,0,7,1,1,1
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Enzo Millot",8,"FRA","AM","21-067",77,1,0,0,0,3,3,0,0,67,1,0,0,0.4,0.4,0.2,3,0,53,61,86.9,5,31,0,4,3
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Jamie Leweling",18,"GER","AM","22-208",13,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0.1,2,0,6,6,100,0,4,1,1,1
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Angelo Stiller",6,"GER","DM","22-171",90,0,0,0,0,1,0,0,0,103,4,1,0,0,0,0.1,4,0,84,93,90.3,13,51,2,3,3
"Fußball-Bundesliga","2023-09-22","Fußball-Bundesliga (Matchweek 5)","Stuttgart","4-2-3-1",3,2.3,"Enzo Millot · 22&rsquor; Serhou Guirassy · 32&rsquor; Serhou Guirassy · 90+2&rsquor;","1","0","Darmstadt 98","5-4-1",1,0.2,"Dan-Axel Zagadou (OG) · 17&rsquor;","6","0","https://fbref.com/en/matches/9cc13e55/Stuttgart-Darmstadt-98-September-22-2023-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","DM","26-344",90,0,0,0,0,0,0,0,0,83,6,2,0,0,0,0,2,0,63,71,88.7,7,35,0,1,0
