"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Serhou Guirassy",9,"GUI","FW","27-034",73,0,0,0,0,3,1,0,0,33,0,0,0,0.5,0.5,0.2,1,0,16,23,69.6,1,16,0,5,2
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Tiago Tomás",10,"POR","FW","20-303",17,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,3,33.3,0,5,1,1,0
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","AM,LM","25-096",61,0,0,0,0,0,0,0,0,49,0,0,1,0,0,0.4,4,0,38,42,90.5,8,25,4,5,4
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","RM,LM","24-191",29,1,0,0,0,2,1,1,0,12,0,2,2,0.3,0.3,0,1,0,4,5,80,2,5,0,1,0
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Enzo Millot",8,"FRA","AM,RM","20-272",73,0,0,0,0,0,0,0,0,43,3,0,1,0,0,0,1,0,25,32,78.1,2,19,0,3,1
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Tanguy Coulibaly",7,"FRA","LM","22-056",17,1,0,0,0,1,1,0,0,5,1,0,1,0,0,0,1,1,1,2,50,0,1,1,1,1
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","CM","30-065",90,0,0,0,0,1,0,1,0,69,4,2,4,0.1,0.1,0,4,1,44,51,86.3,2,34,0,2,2
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","26-184",90,0,0,0,0,0,0,0,0,57,0,2,1,0,0,0,0,0,48,51,94.1,6,14,0,2,2
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","LB,WB","25-084",90,0,0,0,0,0,0,0,0,74,0,0,1,0,0,0.3,6,1,57,72,79.2,7,37,4,1,1
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Josha Vagnoman",4,"GER","RB,WB","22-125",90,1,1,0,0,3,1,0,0,53,2,1,0,0.5,0.5,0.3,3,1,30,39,76.9,1,21,1,4,3
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Waldemar Anton",2,"GER","CB","26-269",90,0,1,0,0,1,1,0,0,77,0,1,3,0,0,0,2,2,55,65,84.6,6,39,3,1,0
"Fußball-Bundesliga","2023-04-15","Fußball-Bundesliga (Matchweek 28)","Stuttgart","3-4-3",3,1.4,"Konstantinos Mavropanos · 39&rsquor; Tanguy Coulibaly · 77&rsquor; Josha Vagnoman · 84&rsquor; Silas Katompa · 90+7&rsquor;","6","1","Dortmund","4-1-4-1",3,1.8,"Sébastien Haller · 26&rsquor; Donyell Malen · 33&rsquor; Gio Reyna · 90+2&rsquor;","3","0","https://fbref.com/en/matches/6edfa8da/Stuttgart-Dortmund-April-15-2023-Bundesliga","Stuttgart","Home","Dan-Axel Zagadou",23,"FRA","CB","23-316",90,0,0,0,0,0,0,0,0,72,1,2,3,0,0,0,1,0,48,55,87.3,2,25,0,0,0
