"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Cacau",NA,"GER","FW","29-155",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Ciprian Marica",NA,"ROU","FW","24-331",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Martin Harnik",NA,"AUT","FW,MF","23-080",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Christian Gentner",NA,"GER","MF","25-015",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Zdravko Kuzmanović",NA,"SRB","MF","22-341",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Christian Träsch",NA,"GER","DF,MF","22-362",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Timo Gebhart",NA,"GER","MF","21-139",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Cristian Molinaro",NA,"ITA","DF,MF","27-030",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Serdar Tasci",NA,"GER","DF","23-127",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Stuttgart","4-4-2",1,NA,"Cacau · 69&rsquor;","0","0","Dortmund","4-2-3-1",3,NA,"Khalid Boulahrouz (OG) · 5&rsquor; Lucas Barrios · 26&rsquor; Mario Götze · 37&rsquor;","2","0","https://fbref.com/en/matches/43d7f5fb/Stuttgart-Dortmund-August-29-2010-Bundesliga","Stuttgart","Home","Georg Niedermeier",NA,"GER","DF","24-184",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
