"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Sasa Kalajdzic",9,"AUT","FW","24-213",90,1,0,0,0,5,1,0,0,39,0,0,0,0.7,0.7,0,2,0,16,23,69.6,2,18,1,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Philipp Förster",20,"GER","FW","27-001",58,0,0,0,0,2,1,0,0,26,2,0,1,0.2,0.2,0,2,0,15,17,88.2,1,19,1,2,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Alexis Tibidi",50,"FRA","FW","18-094",32,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,5,6,83.3,0,7,1,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","LM","24-027",80,0,1,0,0,1,1,0,0,38,1,1,1,0,0,0.8,11,2,24,28,85.7,5,23,2,3,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Tiago Tomás",18,"POR","LM","19-234",10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,4,50,1,3,0,2,2
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Orel Mangala",23,"BEL","CM","23-324",58,0,0,0,0,2,1,0,0,25,1,0,1,0.2,0.2,0,0,0,14,16,87.5,3,17,1,2,1
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Naouirou Ahamada",32,"FRA","CM","19-313",32,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,11,12,91.7,0,10,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","CM","28-361",90,0,0,0,0,0,0,0,0,64,1,3,2,0,0,0.1,1,0,41,46,89.1,2,38,0,2,2
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","RM","23-122",80,0,0,0,0,0,0,0,0,28,2,0,1,0,0,0,2,1,9,15,60,0,19,3,5,2
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Mateo Klimowicz",31,"GER","RM","21-214",10,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,1,1,100,0,3,0,0,0
"Fußball-Bundesliga","2022-02-05","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-4-2",2,1.5,"Waldemar Anton · 42&rsquor; Sasa Kalajdzic · 70&rsquor;","0","0","Eintracht Frankfurt","3-5-2",3,1.1,"Obite N'Dicka · 7&rsquor; Ajdin Hrustic · 47&rsquor; Ajdin Hrustic · 77&rsquor;","0","0","https://fbref.com/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","LB","24-015",90,0,1,0,0,0,0,0,0,68,2,1,0,0,0,0.5,4,1,39,54,72.2,2,49,5,3,2
