"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Serhou Guirassy",9,"GUI","FW","26-241",90,1,0,0,0,2,1,0,0,40,1,0,3,0.5,0.5,0,0,0,15,23,65.2,0,24,3,4,3
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Tiago Tomás",10,"POR","LW","20-145",72,0,1,0,0,3,2,0,0,37,1,0,1,0.4,0.4,0.9,5,1,20,30,66.7,5,23,3,1,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Josha Vagnoman",4,"GER","RM","21-332",18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,8,62.5,0,7,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","RW","24-033",72,0,0,0,0,2,0,0,0,32,3,0,0,0.3,0.3,0.3,3,0,13,20,65,2,25,3,1,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Luca Pfeiffer",20,"GER","FW","26-080",18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,75,1,3,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Lilian Egloff",25,"GER","LM","20-080",63,0,0,0,0,1,0,1,0,26,2,0,0,0.1,0.1,0.1,2,1,12,21,57.1,1,18,2,1,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Enzo Millot",8,"FRA","LM","20-114",27,0,0,0,0,1,1,0,0,24,2,0,1,0.1,0.1,0,1,0,16,18,88.9,1,11,1,1,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","CM","29-272",81,0,0,0,0,1,0,0,0,60,5,1,0,0,0,0.1,2,0,43,51,84.3,3,36,0,1,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","26-026",9,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,13,13,100,1,7,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Naouirou Ahamada",32,"FRA","RM,CM","20-224",90,0,0,0,0,0,0,0,0,55,1,2,1,0,0,0.2,5,0,43,48,89.6,5,33,2,2,2
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","LB","24-291",90,0,1,0,0,1,1,1,0,103,3,2,1,0.1,0.1,0.4,8,1,68,88,77.3,3,57,4,3,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Hiroki Ito",21,"JPN","CB","23-180",90,0,0,0,0,2,1,0,0,86,1,0,1,0.1,0.1,0,2,0,71,79,89.9,8,69,1,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Konstantinos Mavropanos",5,"GRE","CB","24-332",90,1,0,0,0,2,1,1,0,105,0,2,2,0.4,0.4,0.1,1,0,83,93,89.2,6,74,0,1,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Waldemar Anton",2,"GER","RB","26-111",90,0,0,0,0,2,0,0,0,106,3,1,1,0.1,0.1,0,2,1,66,88,75,8,59,7,2,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Stuttgart","Home","Florian Müller",1,"GER","GK","24-360",90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,27,30,90,1,23,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Dodi Lukebakio",14,"BEL","FW","25-045",90,1,0,0,0,3,1,0,0,44,1,1,1,0.2,0.2,0,1,0,15,26,57.7,2,32,3,6,1
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Davie Selke",7,"GER","FW","27-292",60,0,0,0,0,1,0,0,0,11,0,0,1,0.1,0.1,0,0,0,4,7,57.1,2,5,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Wilfried Kanga",18,"CIV","FW","24-260",30,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.1,1,0,3,5,60,1,3,1,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Jean-Paul Boëtius",10,"NED","AM","28-231",90,0,0,0,0,0,0,0,0,39,0,0,4,0,0,0.1,1,0,19,28,67.9,3,16,0,1,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Marco Richter",23,"GER","AM","24-349",60,0,0,0,0,0,0,1,0,24,1,0,1,0,0,0,1,1,13,17,76.5,1,15,1,2,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Chidera Ejuke",40,"NGA","AM","24-310",30,0,0,0,0,2,0,0,0,18,0,0,0,0.1,0.1,0,2,0,6,9,66.7,1,10,2,5,2
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Suat Serdar",8,"GER","DM","25-211",60,0,0,0,0,1,0,0,0,32,3,0,2,0,0,0,1,0,13,18,72.2,1,12,0,1,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Ivan Šunjić",34,"CRO","DM","26-030",30,0,0,0,0,1,1,0,0,18,1,0,2,0.1,0.1,0,1,0,11,12,91.7,1,9,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Lucas Tousart",29,"FRA","DM","25-193",90,0,0,0,0,3,0,0,0,53,0,1,0,0.2,0.2,0.1,2,0,27,36,75,0,29,1,2,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Marvin Plattenhardt",21,"GER","LB","30-286",90,0,0,0,0,0,0,0,0,46,2,1,1,0,0,0.1,2,0,25,38,65.8,3,15,3,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Marc-Oliver Kempf",20,"GER","CB","27-284",90,0,0,0,0,0,0,1,0,61,0,0,1,0,0,0,1,0,46,52,88.5,3,39,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Agustín Rogel",3,"URU","CB","25-022",90,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,49,59,83.1,1,51,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Jonjoe Kenny",16,"ENG","RB","25-238",90,0,1,0,0,0,0,0,0,68,2,2,3,0,0,0.2,2,1,38,58,65.5,2,34,3,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Stuttgart","4-3-3",2,2,"Serhou Guirassy · 3&rsquor; Konstantinos Mavropanos · 90+8&rsquor;","3","0","Hertha BSC","4-2-2-2",1,0.7,"Dodi Lukebakio · 19&rsquor;","2","0","https://fbref.com/en/matches/166186d3/Stuttgart-Hertha-BSC-November-8-2022-Bundesliga","Hertha BSC","Away","Oliver Christensen",1,"DEN","GK","23-231",90,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,36,44,81.8,0,30,0,0,0
