"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Serhou Guirassy",9,"GUI","FW","27-076",90,0,0,0,0,2,0,0,0,30,0,0,0,0.8,0.8,0.1,3,0,21,25,84,3,21,0,1,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","AM","25-138",65,0,0,0,0,2,1,0,0,30,1,0,0,0.2,0.2,0.3,2,0,17,21,81,2,24,1,3,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Tiago Tomás",10,"POR","AM","20-345",25,1,0,0,0,7,3,0,0,21,0,0,0,0.6,0.6,0.1,3,0,6,13,46.2,0,14,3,1,1
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","AM","24-233",77,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0.7,2,0,12,15,80,2,19,2,4,2
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Tanguy Coulibaly",7,"FRA","WB","22-098",13,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0.1,2,0,7,8,87.5,0,7,0,1,1
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","CM","30-107",90,0,1,0,0,1,0,0,0,74,1,0,1,0,0,0.7,7,1,54,64,84.4,9,47,3,0,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","26-226",77,0,0,0,0,1,0,0,0,45,0,0,2,0,0,0,1,0,33,39,84.6,5,31,1,0,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Luca Pfeiffer",20,"GER","AM","26-280",13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,4,75,2,3,0,1,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","WB","25-126",90,0,0,0,0,1,0,0,0,101,1,1,1,0.1,0.1,0.2,6,0,73,95,76.8,11,70,4,3,2
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Stuttgart","3-4-3",1,2.5,"Tiago Tomás · 80&rsquor;","0","0","Hoffenheim","3-5-2",1,0.8,"Ihlas Bebou · 75&rsquor;","0","0","https://fbref.com/en/matches/d9be90fd/Stuttgart-Hoffenheim-May-27-2023-Bundesliga","Stuttgart","Home","Josha Vagnoman",4,"GER","WB","22-167",69,0,0,0,0,3,0,0,0,34,1,0,0,0.5,0.5,0,2,0,24,26,92.3,2,25,0,2,2
